 ,Area,Mean,MinThr,MaxThr
1,1135.795,4.460,3,32767
2,1057.739,4.373,3,32767
3,1020.510,4.334,3,32767
4,970.298,4.258,3,32767
5,967.639,4.208,3,32767
6,988.287,4.208,3,32767
7,995.482,4.239,3,32767
8,1027.236,4.190,3,32767
9,1053.985,4.194,3,32767
10,985.158,4.167,3,32767
11,980.309,4.051,3,32767
12,966.075,4.045,3,32767
13,933.851,3.990,3,32767
14,926.187,4.083,3,32767
15,925.248,4.068,3,32767
16,875.192,4.028,3,32767
17,866.276,4.057,3,32767
18,801.517,4.141,3,32767
19,854.388,4.095,3,32767
20,840.466,4.081,3,32767
21,845.785,4.057,3,32767
22,856.891,4.110,3,32767
23,804.332,4.084,3,32767
24,750.210,4.086,3,32767
25,800.109,4.122,3,32767
26,767.103,4.104,3,32767
27,758.344,3.994,3,32767
28,737.696,3.924,3,32767
29,669.338,4.008,3,32767
30,686.545,3.940,3,32767
31,685.919,3.913,3,32767
32,665.271,3.966,3,32767
33,654.947,3.898,3,32767
34,654.165,3.887,3,32767
35,613.651,3.890,3,32767
36,606.456,3.759,3,32767
37,604.579,3.818,3,32767
38,564.847,3.756,3,32767
39,542.322,3.755,3,32767
40,545.920,3.581,3,32767
41,539.819,3.804,3,32767
42,527.462,3.815,3,32767
43,515.886,3.834,3,32767
44,482.568,3.823,3,32767
45,473.808,3.792,3,32767
46,472.244,3.795,3,32767
47,494.143,3.781,3,32767
48,463.484,3.788,3,32767
49,446.903,3.809,3,32767
50,440.959,3.777,3,32767
51,556.244,3.620,3,32767
52,464.110,3.569,3,32767
53,465.205,3.753,3,32767
54,521.831,3.708,3,32767
55,518.233,3.686,3,32767
56,467.708,3.748,3,32767
57,471.149,3.735,3,32767
58,457.384,3.516,3,32767
59,482.412,3.530,3,32767
60,431.887,3.500,3,32767
61,482.412,3.595,3,32767
62,466.456,3.576,3,32767
63,483.976,3.545,3,32767
64,493.831,3.554,3,32767
65,486.322,3.570,3,32767
66,429.227,3.580,3,32767
67,448.155,3.560,3,32767
68,442.054,3.575,3,32767
69,462.077,3.566,3,32767
70,475.529,3.613,3,32767
71,473.339,3.639,3,32767
72,461.764,3.670,3,32767
73,474.590,3.673,3,32767
74,481.317,3.658,3,32767
75,468.646,3.635,3,32767
76,480.378,3.598,3,32767
77,463.484,3.640,3,32767
78,551.864,3.640,3,32767
79,518.076,3.702,3,32767
80,514.322,3.655,3,32767
81,513.540,3.666,3,32767
82,509.942,3.666,3,32767
83,496.959,3.700,3,32767
84,517.763,3.607,3,32767
85,526.367,3.630,3,32767
86,504.311,3.645,3,32767
87,530.747,3.660,3,32767
88,480.378,3.626,3,32767
89,445.652,3.805,3,32767
90,465.831,3.749,3,32767
91,469.116,3.654,3,32767
92,454.412,3.635,3,32767
93,416.401,3.723,3,32767
94,438.457,3.618,3,32767
95,457.697,3.670,3,32767
96,439.395,3.723,3,32767
97,426.099,3.713,3,32767
98,432.200,3.643,3,32767
99,417.026,3.702,3,32767
100,410.769,3.662,3,32767
101,419.686,3.735,3,32767
102,371.976,3.725,3,32767
103,379.172,3.717,3,32767
104,400.133,3.697,3,32767
105,424.222,3.664,3,32767
106,425.630,3.593,3,32767
107,452.065,3.594,3,32767
108,484.132,3.651,3,32767
109,488.356,3.583,3,32767
110,450.345,3.589,3,32767
111,435.172,3.700,3,32767
112,411.395,3.646,3,32767
113,404.825,3.701,3,32767
114,375.730,3.643,3,32767
115,384.959,3.624,3,32767
116,350.233,3.653,3,32767
117,358.055,3.619,3,32767
118,387.619,3.615,3,32767
119,399.663,3.558,3,32767
120,385.742,3.588,3,32767
121,359.150,3.611,3,32767
122,352.580,3.461,3,32767
123,322.390,3.465,3,32767
124,330.993,3.457,3,32767
125,360.714,3.565,3,32767
126,340.692,3.545,3,32767
127,327.083,3.546,3,32767
128,352.267,3.553,3,32767
129,345.697,3.517,3,32767
130,328.960,3.469,3,32767
131,324.580,3.465,3,32767
132,327.395,3.393,3,32767
133,337.876,3.451,3,32767
134,339.284,3.439,3,32767
135,332.401,3.548,3,32767
136,318.166,3.497,3,32767
137,282.815,3.519,3,32767
138,277.965,3.443,3,32767
139,278.904,3.481,3,32767
140,283.440,3.409,3,32767
141,299.083,3.408,3,32767
142,276.871,3.437,3,32767
143,330.837,3.472,3,32767
144,273.742,3.480,3,32767
145,273.898,3.396,3,32767
146,279.217,3.464,3,32767
147,275.932,3.510,3,32767
148,295.798,3.503,3,32767
149,285.474,3.421,3,32767
150,255.440,3.587,3,32767
151,272.960,3.504,3,32767
152,279.686,3.497,3,32767
153,260.290,3.468,3,32767
154,262.479,3.490,3,32767
155,300.021,3.404,3,32767
156,274.837,3.355,3,32767
157,287.977,3.376,3,32767
158,315.664,3.414,3,32767
159,268.580,3.408,3,32767
160,313.787,3.341,3,32767
161,291.262,3.425,3,32767
162,264.044,3.364,3,32767
163,296.424,3.336,3,32767
164,296.736,3.397,3,32767
165,258.569,3.372,3,32767
166,276.871,3.344,3,32767
167,257.630,3.390,3,32767
168,276.245,3.435,3,32767
169,288.759,3.403,3,32767
170,280.155,3.395,3,32767
171,266.390,3.422,3,32767
172,317.697,3.436,3,32767
173,314.725,3.428,3,32767
174,293.921,3.426,3,32767
175,296.580,3.460,3,32767
176,272.647,3.367,3,32767
177,236.357,3.414,3,32767
178,269.675,3.331,3,32767
179,258.725,3.311,3,32767
180,285.474,3.381,3,32767
181,325.049,3.342,3,32767
182,325.049,3.418,3,32767
183,321.295,3.406,3,32767
184,281.563,3.363,3,32767
185,278.748,3.325,3,32767
186,277.653,3.332,3,32767
187,281.250,3.313,3,32767
188,263.887,3.215,3,32767
189,253.094,3.262,3,32767
190,260.915,3.269,3,32767
191,268.736,3.278,3,32767
192,297.206,3.307,3,32767
193,287.038,3.286,3,32767
194,304.714,3.349,3,32767
195,302.368,3.313,3,32767
196,298.770,3.288,3,32767
197,293.295,3.306,3,32767
198,303.306,3.335,3,32767
199,285.943,3.345,3,32767
200,305.809,3.313,3,32767
