
Selection
 ==================== 
Shortest Distance to Spots,Unit,Category,Spots,Time,Set 1,ID,
3.26009,,Spot,Selected Surfaces - W2,1,ibranched,1,
2.05233,,Spot,Selected Surfaces - W2,1,ibranched,2,
2.21452,,Spot,Selected Surfaces - W2,1,ibranched,3,
2.53951,,Spot,Selected Surfaces - W2,1,ibranched,4,
4.31837,,Spot,Selected Surfaces - W2,1,ibranched,5,
2.26239,,Spot,Selected Surfaces - W2,1,ibranched,6,
1.66052,,Spot,Selected Surfaces - W2,1,ibranched,7,
0.92826,,Spot,Selected Surfaces - W2,1,ibranched,8,
2.19253,,Spot,Selected Surfaces - W2,1,ibranched,9,
0.837827,,Spot,Selected Surfaces - W2,1,ibranched,11,
2.95889,,Spot,Selected Surfaces - W2,1,ibranched,12,
2.52517,,Spot,Selected Surfaces - W2,1,ibranched,13,
1.59719,,Spot,Selected Surfaces - W2,1,ibranched,14,
2.13794,,Spot,Selected Surfaces - W2,1,ibranched,15,
2.08035,,Spot,Selected Surfaces - W2,1,ibranched,16,
1.65026,,Spot,Selected Surfaces - W2,1,ibranched,17,
2.35788,,Spot,Selected Surfaces - W2,1,ibranched,18,
1.31277,,Spot,Selected Surfaces - W2,1,ibranched,19,
2.10871,,Spot,Selected Surfaces - W2,1,ibranched,20,
1.24539,,Spot,Selected Surfaces - W2,1,ibranched,22,
1.08274,,Spot,Selected Surfaces - W2,1,ibranched,23,
1.65025,,Spot,Selected Surfaces - W2,1,ibranched,24,
2.84002,,Spot,Selected Surfaces - W2,1,ibranched,25,
2.68403,,Spot,Selected Surfaces - W2,1,ibranched,27,
2.34108,,Spot,Selected Surfaces - W2,1,ibranched,28,
2.26229,,Spot,Selected Surfaces - W2,1,ibranched,29,
1.08274,,Spot,Selected Surfaces - W2,1,ibranched,30,
1.71166,,Spot,Selected Surfaces - W2,1,ibranched,31,
1.65025,,Spot,Selected Surfaces - W2,1,ibranched,32,
2.49866,,Spot,Selected Surfaces - W2,1,ibranched,33,
1.85369,,Spot,Selected Surfaces - W2,1,ibranched,34,
1.15961,,Spot,Selected Surfaces - W2,1,ibranched,35,
2.11679,,Spot,Selected Surfaces - W2,1,ibranched,36,
2.23557,,Spot,Selected Surfaces - W2,1,ibranched,38,
0.329718,,Spot,Selected Surfaces - W2,1,ibranched,39,
2.49149,,Spot,Selected Surfaces - W2,1,ibranched,40,
1.71163,,Spot,Selected Surfaces - W2,1,ibranched,41,
1.66055,,Spot,Selected Surfaces - W2,1,ibranched,42,
1.36443,,Spot,Selected Surfaces - W2,1,ibranched,43,
1.49679,,Spot,Selected Surfaces - W2,1,ibranched,44,
0.687976,,Spot,Selected Surfaces - W2,1,ibranched,45,
4.51515,,Spot,Selected Surfaces - W2,1,ibranched,46,
2.08237,,Spot,Selected Surfaces - W2,1,ibranched,47,
2.40495,,Spot,Selected Surfaces - W2,1,ibranched,48,
3.74136,,Spot,Selected Surfaces - W2,1,ibranched,49,
4.63839,,Spot,Selected Surfaces - W2,1,ibranched,50,
1.24539,,Spot,Selected Surfaces - W2,1,ibranched,51,
4.6754,,Spot,Selected Surfaces - W2,1,ibranched,52,
1.9859,,Spot,Selected Surfaces - W2,1,ibranched,53,
2.6838,,Spot,Selected Surfaces - W2,1,ibranched,54,
2.07793,,Spot,Selected Surfaces - W2,1,ibranched,55,
2.13173,,Spot,Selected Surfaces - W2,1,ibranched,56,
1.79362,,Spot,Selected Surfaces - W2,1,ibranched,57,
3.74106,,Spot,Selected Surfaces - W2,1,ibranched,58,
2.20055,,Spot,Selected Surfaces - W2,1,ibranched,60,
0.992804,,Spot,Selected Surfaces - W2,1,ibranched,61,
2.29375,,Spot,Selected Surfaces - W2,1,ibranched,62,
0.92826,,Spot,Selected Surfaces - W2,1,ibranched,63,
1.80009,,Spot,Selected Surfaces - W2,1,ibranched,64,
0.415131,,Spot,Selected Surfaces - W2,1,ibranched,65,
2.72886,,Spot,Selected Surfaces - W2,1,ibranched,66,
3.31595,,Spot,Selected Surfaces - W2,1,ibranched,67,
2.49077,,Spot,Selected Surfaces - W2,1,ibranched,69,
2.16484,,Spot,Selected Surfaces - W2,1,ibranched,70,
2.71594,,Spot,Selected Surfaces - W2,1,ibranched,71,
2.12545,,Spot,Selected Surfaces - W2,1,ibranched,72,
3.80952,,Spot,Selected Surfaces - W2,1,ibranched,73,
4.09302,,Spot,Selected Surfaces - W2,1,ibranched,74,
2.34109,,Spot,Selected Surfaces - W2,1,ibranched,75,
2.07565,,Spot,Selected Surfaces - W2,1,ibranched,76,
2.34108,,Spot,Selected Surfaces - W2,1,ibranched,77,
1.31276,,Spot,Selected Surfaces - W2,1,ibranched,78,
0.908094,,Spot,Selected Surfaces - W2,1,ibranched,79,
1.98234,,Spot,Selected Surfaces - W2,1,ibranched,80,
2.88242,,Spot,Selected Surfaces - W2,1,ibranched,81,
1.98234,,Spot,Selected Surfaces - W2,1,ibranched,82,
1.31279,,Spot,Selected Surfaces - W2,1,ibranched,83,
1.2679,,Spot,Selected Surfaces - W2,1,ibranched,84,
2.11679,,Spot,Selected Surfaces - W2,1,ibranched,85,
1.49677,,Spot,Selected Surfaces - W2,1,ibranched,86,
1.26039,,Spot,Selected Surfaces - W2,1,ibranched,87,
1.11575,,Spot,Selected Surfaces - W2,1,ibranched,88,
2.23558,,Spot,Selected Surfaces - W2,1,ibranched,89,
1.93223,,Spot,Selected Surfaces - W2,1,ibranched,90,
1.51693,,Spot,Selected Surfaces - W2,1,ibranched,91,
2.81042,,Spot,Selected Surfaces - W2,1,ibranched,92,
0.830261,,Spot,Selected Surfaces - W2,1,ibranched,93,
1.30704,,Spot,Selected Surfaces - W2,1,ibranched,94,
2.62552,,Spot,Selected Surfaces - W2,1,ibranched,95,
2.62552,,Spot,Selected Surfaces - W2,1,ibranched,96,
2.45922,,Spot,Selected Surfaces - W2,1,ibranched,97,
2.17943,,Spot,Selected Surfaces - W2,1,ibranched,98,
2.51077,,Spot,Selected Surfaces - W2,1,ibranched,99,
3.66171,,Spot,Selected Surfaces - W2,1,ibranched,100,
2.49807,,Spot,Selected Surfaces - W2,1,ibranched,101,
1.08274,,Spot,Selected Surfaces - W2,1,ibranched,102,
3.00717,,Spot,Selected Surfaces - W2,1,ibranched,103,
2.0551,,Spot,Selected Surfaces - W2,1,ibranched,104,
1.08274,,Spot,Selected Surfaces - W2,1,ibranched,105,
1.08274,,Spot,Selected Surfaces - W2,1,ibranched,106,
0.830261,,Spot,Selected Surfaces - W2,1,ibranched,107,
0.415131,,Spot,Selected Surfaces - W2,1,ibranched,108,
4.47544,,Spot,Selected Surfaces - W2,1,ibranched,109,
0,,Spot,Selected Surfaces - W2,1,ibranched,111,
1.62278,,Spot,Selected Surfaces - W2,1,ibranched,112,
2.00699,,Spot,Selected Surfaces - W2,1,ibranched,114,
0.828507,,Spot,Selected Surfaces - W2,1,ibranched,115,
4.95296,,Spot,Selected Surfaces - W2,1,ibranched,116,
0.830261,,Spot,Selected Surfaces - W2,1,ibranched,118,
1.65026,,Spot,Selected Surfaces - W2,1,ibranched,119,
0.92826,,Spot,Selected Surfaces - W2,1,ibranched,121,
2.07565,,Spot,Selected Surfaces - W2,1,ibranched,123,
2.63243,,Spot,Selected Surfaces - W2,1,ibranched,124,
