
Selection
 ==================== 
Shortest Distance to Spots,Unit,Category,Spots,Time,Set 1,ID,
2.3192,,Spot,Selected Surfaces - W2,1,ibranched,0,
5.53609,,Spot,Selected Surfaces - W2,1,ibranched,1,
2.78814,,Spot,Selected Surfaces - W2,1,ibranched,2,
0.92826,,Spot,Selected Surfaces - W2,1,ibranched,3,
2.44884,,Spot,Selected Surfaces - W2,1,ibranched,4,
3.11292,,Spot,Selected Surfaces - W2,1,ibranched,5,
1.42176,,Spot,Selected Surfaces - W2,1,ibranched,6,
2.8509,,Spot,Selected Surfaces - W2,1,ibranched,7,
1.23724,,Spot,Selected Surfaces - W2,1,ibranched,8,
2.10872,,Spot,Selected Surfaces - W2,1,ibranched,9,
2.1655,,Spot,Selected Surfaces - W2,1,ibranched,10,
5.75543,,Spot,Selected Surfaces - W2,1,ibranched,11,
1.02152,,Spot,Selected Surfaces - W2,1,ibranched,12,
4.31837,,Spot,Selected Surfaces - W2,1,ibranched,13,
1.03398,,Spot,Selected Surfaces - W2,1,ibranched,14,
3.22159,,Spot,Selected Surfaces - W2,1,ibranched,15,
1.24541,,Spot,Selected Surfaces - W2,1,ibranched,16,
2.66495,,Spot,Selected Surfaces - W2,1,ibranched,17,
1.34983,,Spot,Selected Surfaces - W2,1,ibranched,18,
2.5104,,Spot,Selected Surfaces - W2,1,ibranched,19,
2.22597,,Spot,Selected Surfaces - W2,1,ibranched,20,
1.8001,,Spot,Selected Surfaces - W2,1,ibranched,21,
2.07567,,Spot,Selected Surfaces - W2,1,ibranched,22,
1.5423,,Spot,Selected Surfaces - W2,1,ibranched,23,
4.06328,,Spot,Selected Surfaces - W2,1,ibranched,24,
1.97571,,Spot,Selected Surfaces - W2,1,ibranched,25,
0.830261,,Spot,Selected Surfaces - W2,1,ibranched,26,
1.76126,,Spot,Selected Surfaces - W2,1,ibranched,27,
1.52448,,Spot,Selected Surfaces - W2,1,ibranched,28,
4.04285,,Spot,Selected Surfaces - W2,1,ibranched,29,
1.5423,,Spot,Selected Surfaces - W2,1,ibranched,30,
2.70001,,Spot,Selected Surfaces - W2,1,ibranched,31,
2.1562,,Spot,Selected Surfaces - W2,1,ibranched,32,
1.18624,,Spot,Selected Surfaces - W2,1,ibranched,33,
1.61979,,Spot,Selected Surfaces - W2,1,ibranched,34,
2.20492,,Spot,Selected Surfaces - W2,1,ibranched,35,
2.43117,,Spot,Selected Surfaces - W2,1,ibranched,36,
1.80009,,Spot,Selected Surfaces - W2,1,ibranched,37,
1.80009,,Spot,Selected Surfaces - W2,1,ibranched,38,
2.35606,,Spot,Selected Surfaces - W2,1,ibranched,39,
0.928274,,Spot,Selected Surfaces - W2,1,ibranched,40,
1.02684,,Spot,Selected Surfaces - W2,1,ibranched,41,
0.415131,,Spot,Selected Surfaces - W2,1,ibranched,42,
2.21006,,Spot,Selected Surfaces - W2,1,ibranched,43,
1.75079,,Spot,Selected Surfaces - W2,1,ibranched,44,
2.56157,,Spot,Selected Surfaces - W2,1,ibranched,45,
2.80952,,Spot,Selected Surfaces - W2,1,ibranched,46,
1.47066,,Spot,Selected Surfaces - W2,1,ibranched,47,
2.96846,,Spot,Selected Surfaces - W2,1,ibranched,48,
1.60174,,Spot,Selected Surfaces - W2,1,ibranched,49,
1.93838,,Spot,Selected Surfaces - W2,1,ibranched,50,
1.93591,,Spot,Selected Surfaces - W2,1,ibranched,51,
1.80012,,Spot,Selected Surfaces - W2,1,ibranched,53,
2.19604,,Spot,Selected Surfaces - W2,1,ibranched,54,
2.05851,,Spot,Selected Surfaces - W2,1,ibranched,55,
1.51371,,Spot,Selected Surfaces - W2,1,ibranched,56,
2.08463,,Spot,Selected Surfaces - W2,1,ibranched,57,
1.85652,,Spot,Selected Surfaces - W2,1,ibranched,58,
2.59821,,Spot,Selected Surfaces - W2,1,ibranched,59,
2.05537,,Spot,Selected Surfaces - W2,1,ibranched,60,
1.49679,,Spot,Selected Surfaces - W2,1,ibranched,61,
1.64988,,Spot,Selected Surfaces - W2,1,ibranched,62,
5.87841,,Spot,Selected Surfaces - W2,1,ibranched,63,
1.94496,,Spot,Selected Surfaces - W2,1,ibranched,64,
2.07071,,Spot,Selected Surfaces - W2,1,ibranched,65,
2.72888,,Spot,Selected Surfaces - W2,1,ibranched,66,
4.83771,,Spot,Selected Surfaces - W2,1,ibranched,67,
1.02574,,Spot,Selected Surfaces - W2,1,ibranched,68,
2.78481,,Spot,Selected Surfaces - W2,1,ibranched,69,
3.24823,,Spot,Selected Surfaces - W2,1,ibranched,70,
1.9419,,Spot,Selected Surfaces - W2,1,ibranched,71,
4.24966,,Spot,Selected Surfaces - W2,1,ibranched,73,
1.98234,,Spot,Selected Surfaces - W2,1,ibranched,74,
1.95816,,Spot,Selected Surfaces - W2,1,ibranched,75,
1.19571,,Spot,Selected Surfaces - W2,1,ibranched,76,
2.72886,,Spot,Selected Surfaces - W2,1,ibranched,77,
1.00577,,Spot,Selected Surfaces - W2,1,ibranched,78,
1.27998,,Spot,Selected Surfaces - W2,1,ibranched,79,
1.29974,,Spot,Selected Surfaces - W2,1,ibranched,81,
1.85652,,Spot,Selected Surfaces - W2,1,ibranched,82,
0.415131,,Spot,Selected Surfaces - W2,1,ibranched,83,
1.23548,,Spot,Selected Surfaces - W2,1,ibranched,84,
1.08274,,Spot,Selected Surfaces - W2,1,ibranched,85,
1.33548,,Spot,Selected Surfaces - W2,1,ibranched,86,
2.10872,,Spot,Selected Surfaces - W2,1,ibranched,87,
2.34108,,Spot,Selected Surfaces - W2,1,ibranched,88,
0.694046,,Spot,Selected Surfaces - W2,1,ibranched,89,
1.11855,,Spot,Selected Surfaces - W2,1,ibranched,90,
1.45294,,Spot,Selected Surfaces - W2,1,ibranched,91,
2.26769,,Spot,Selected Surfaces - W2,1,ibranched,92,
1.00495,,Spot,Selected Surfaces - W2,1,ibranched,93,
3.18854,,Spot,Selected Surfaces - W2,1,ibranched,94,
1.76127,,Spot,Selected Surfaces - W2,1,ibranched,95,
3.26955,,Spot,Selected Surfaces - W2,1,ibranched,96,
1.70483,,Spot,Selected Surfaces - W2,1,ibranched,97,
1.93838,,Spot,Selected Surfaces - W2,1,ibranched,98,
3.26406,,Spot,Selected Surfaces - W2,1,ibranched,99,
2.22548,,Spot,Selected Surfaces - W2,1,ibranched,100,
1.66052,,Spot,Selected Surfaces - W2,1,ibranched,101,
1.85838,,Spot,Selected Surfaces - W2,1,ibranched,102,
5.12187,,Spot,Selected Surfaces - W2,1,ibranched,103,
3.16273,,Spot,Selected Surfaces - W2,1,ibranched,104,
3.64806,,Spot,Selected Surfaces - W2,1,ibranched,105,
2.21409,,Spot,Selected Surfaces - W2,1,ibranched,106,
3.04955,,Spot,Selected Surfaces - W2,1,ibranched,107,
1.6486,,Spot,Selected Surfaces - W2,1,ibranched,108,
3.18287,,Spot,Selected Surfaces - W2,1,ibranched,109,
2.60013,,Spot,Selected Surfaces - W2,1,ibranched,110,
1.49679,,Spot,Selected Surfaces - W2,1,ibranched,111,
1.66052,,Spot,Selected Surfaces - W2,1,ibranched,112,
1.48624,,Spot,Selected Surfaces - W2,1,ibranched,113,
2.10936,,Spot,Selected Surfaces - W2,1,ibranched,114,
2.04263,,Spot,Selected Surfaces - W2,1,ibranched,115,
1.37048,,Spot,Selected Surfaces - W2,1,ibranched,116,
1.66052,,Spot,Selected Surfaces - W2,1,ibranched,117,
1.59719,,Spot,Selected Surfaces - W2,1,ibranched,118,
1.85652,,Spot,Selected Surfaces - W2,1,ibranched,119,
0.998103,,Spot,Selected Surfaces - W2,1,ibranched,120,
1.49678,,Spot,Selected Surfaces - W2,1,ibranched,121,
1.31922,,Spot,Selected Surfaces - W2,1,ibranched,122,
2.34108,,Spot,Selected Surfaces - W2,1,ibranched,123,
1.54021,,Spot,Selected Surfaces - W2,1,ibranched,124,
1.85652,,Spot,Selected Surfaces - W2,1,ibranched,125,
2.55241,,Spot,Selected Surfaces - W2,1,ibranched,128,
4.20991,,Spot,Selected Surfaces - W2,1,ibranched,129,
1.9363,,Spot,Selected Surfaces - W2,1,ibranched,130,
4.27406,,Spot,Selected Surfaces - W2,1,ibranched,131,
2.69129,,Spot,Selected Surfaces - W2,1,ibranched,132,
1.7364,,Spot,Selected Surfaces - W2,1,ibranched,133,
1.65025,,Spot,Selected Surfaces - W2,1,ibranched,134,
2.43448,,Spot,Selected Surfaces - W2,1,ibranched,135,
0.928274,,Spot,Selected Surfaces - W2,1,ibranched,136,
3.22159,,Spot,Selected Surfaces - W2,1,ibranched,137,
1.79354,,Spot,Selected Surfaces - W2,1,ibranched,138,
1.08274,,Spot,Selected Surfaces - W2,1,ibranched,139,
1.1596,,Spot,Selected Surfaces - W2,1,ibranched,141,
2.79117,,Spot,Selected Surfaces - W2,1,ibranched,142,
2.34109,,Spot,Selected Surfaces - W2,1,ibranched,143,
3.6716,,Spot,Selected Surfaces - W2,1,ibranched,144,
