
Detailed
 ==================== 
Shortest Distance to Spots,Unit,Category,Spots,Time,ID,
4.5771,,Spot,Selected Surfaces - W0,1,0,
5.94379,,Spot,Selected Surfaces - W0,1,1,
6.36244,,Spot,Selected Surfaces - W0,1,2,
1.98234,,Spot,Selected Surfaces - W0,1,3,
1.65028,,Spot,Selected Surfaces - W0,1,4,
5.17775,,Spot,Selected Surfaces - W0,1,5,
1.0648,,Spot,Selected Surfaces - W0,1,6,
2.35607,,Spot,Selected Surfaces - W0,1,7,
0.587083,,Spot,Selected Surfaces - W0,1,8,
3.11605,,Spot,Selected Surfaces - W0,1,9,
1.49679,,Spot,Selected Surfaces - W0,1,10,
2.20492,,Spot,Selected Surfaces - W0,1,11,
0.830276,,Spot,Selected Surfaces - W0,1,12,
0.587083,,Spot,Selected Surfaces - W0,1,13,
1.08274,,Spot,Selected Surfaces - W0,1,14,
2.35606,,Spot,Selected Surfaces - W0,1,15,
4.81464,,Spot,Selected Surfaces - W0,1,16,
3.64806,,Spot,Selected Surfaces - W0,1,17,
2.16549,,Spot,Selected Surfaces - W0,1,18,
1.31278,,Spot,Selected Surfaces - W0,1,19,
3.70846,,Spot,Selected Surfaces - W0,1,20,
10.8814,,Spot,Selected Surfaces - W0,1,21,
3.06133,,Spot,Selected Surfaces - W0,1,22,
0.830261,,Spot,Selected Surfaces - W0,1,23,
3.68515,,Spot,Selected Surfaces - W0,1,24,
11.215,,Spot,Selected Surfaces - W0,1,25,
1.36444,,Spot,Selected Surfaces - W0,1,26,
2.12691,,Spot,Selected Surfaces - W0,1,27,
2.0548,,Spot,Selected Surfaces - W0,1,28,
2.02534,,Spot,Selected Surfaces - W0,1,29,
3.8899,,Spot,Selected Surfaces - W0,1,30,
2.59672,,Spot,Selected Surfaces - W0,1,31,
4.33097,,Spot,Selected Surfaces - W0,1,32,
1.66052,,Spot,Selected Surfaces - W0,1,33,
8.39893,,Spot,Selected Surfaces - W0,1,34,
4.23352,,Spot,Selected Surfaces - W0,1,35,
8.02899,,Spot,Selected Surfaces - W0,1,36,
0.92826,,Spot,Selected Surfaces - W0,1,37,
4.22596,,Spot,Selected Surfaces - W0,1,38,
2.67832,,Spot,Selected Surfaces - W0,1,39,
3.019,,Spot,Selected Surfaces - W0,1,40,
1.49677,,Spot,Selected Surfaces - W0,1,41,
1.71785,,Spot,Selected Surfaces - W0,1,42,
4.01359,,Spot,Selected Surfaces - W0,1,43,
1.44977,,Spot,Selected Surfaces - W0,1,44,
2.34111,,Spot,Selected Surfaces - W0,1,45,
0.928247,,Spot,Selected Surfaces - W0,1,46,
1.29974,,Spot,Selected Surfaces - W0,1,47,
2.99962,,Spot,Selected Surfaces - W0,1,48,
1.31702,,Spot,Selected Surfaces - W0,1,49,
2.84002,,Spot,Selected Surfaces - W0,1,50,
0.4151,,Spot,Selected Surfaces - W0,1,51,
2.07565,,Spot,Selected Surfaces - W0,1,52,
0,,Spot,Selected Surfaces - W0,1,53,
