
Detailed
 ==================== 
Shortest Distance to Spots,Unit,Category,Spots,Time,ID,
2.07567,µm,Spot,Selected Surfaces - W0,1,0,
3.16157,µm,Spot,Selected Surfaces - W0,1,1,
3.55202,µm,Spot,Selected Surfaces - W0,1,2,
6.14193,µm,Spot,Selected Surfaces - W0,1,3,
13.2187,µm,Spot,Selected Surfaces - W0,1,4,
7.4827,µm,Spot,Selected Surfaces - W0,1,5,
7.33693,µm,Spot,Selected Surfaces - W0,1,6,
3.1011,µm,Spot,Selected Surfaces - W0,1,7,
7.13744,µm,Spot,Selected Surfaces - W0,1,8,
2.30398,µm,Spot,Selected Surfaces - W0,1,9,
6.66887,µm,Spot,Selected Surfaces - W0,1,10,
2.44901,µm,Spot,Selected Surfaces - W0,1,11,
3.0926,µm,Spot,Selected Surfaces - W0,1,12,
3.34692,µm,Spot,Selected Surfaces - W0,1,13,
1.65025,µm,Spot,Selected Surfaces - W0,1,14,
3.05946,µm,Spot,Selected Surfaces - W0,1,15,
2.6594,µm,Spot,Selected Surfaces - W0,1,16,
5.95924,µm,Spot,Selected Surfaces - W0,1,17,
11.962,µm,Spot,Selected Surfaces - W0,1,18,
5.30114,µm,Spot,Selected Surfaces - W0,1,19,
3.60299,µm,Spot,Selected Surfaces - W0,1,20,
2.14883,µm,Spot,Selected Surfaces - W0,1,21,
2.28943,µm,Spot,Selected Surfaces - W0,1,22,
9.81518,µm,Spot,Selected Surfaces - W0,1,23,
2.44901,µm,Spot,Selected Surfaces - W0,1,24,
5.51069,µm,Spot,Selected Surfaces - W0,1,25,
7.80952,µm,Spot,Selected Surfaces - W0,1,26,
4.82873,µm,Spot,Selected Surfaces - W0,1,27,
3.95774,µm,Spot,Selected Surfaces - W0,1,28,
1.35116,µm,Spot,Selected Surfaces - W0,1,29,
3.28063,µm,Spot,Selected Surfaces - W0,1,30,
7.34445,µm,Spot,Selected Surfaces - W0,1,31,
1.98237,µm,Spot,Selected Surfaces - W0,1,32,
1.71117,µm,Spot,Selected Surfaces - W0,1,33,
3.63193,µm,Spot,Selected Surfaces - W0,1,34,
7.7338,µm,Spot,Selected Surfaces - W0,1,35,
10.6109,µm,Spot,Selected Surfaces - W0,1,36,
4.57193,µm,Spot,Selected Surfaces - W0,1,37,
6.63593,µm,Spot,Selected Surfaces - W0,1,38,
2.95891,µm,Spot,Selected Surfaces - W0,1,39,
2.49952,µm,Spot,Selected Surfaces - W0,1,40,
6.36244,µm,Spot,Selected Surfaces - W0,1,41,
6.13028,µm,Spot,Selected Surfaces - W0,1,42,
6.20219,µm,Spot,Selected Surfaces - W0,1,43,
14.9133,µm,Spot,Selected Surfaces - W0,1,44,
4.54375,µm,Spot,Selected Surfaces - W0,1,45,
2.02265,µm,Spot,Selected Surfaces - W0,1,46,
1.71163,µm,Spot,Selected Surfaces - W0,1,47,
2.49807,µm,Spot,Selected Surfaces - W0,1,48,
4.93334,µm,Spot,Selected Surfaces - W0,1,49,
2.10871,µm,Spot,Selected Surfaces - W0,1,50,
3.39301,µm,Spot,Selected Surfaces - W0,1,51,
3.34693,µm,Spot,Selected Surfaces - W0,1,52,
13.2982,µm,Spot,Selected Surfaces - W0,1,53,
5.95543,µm,Spot,Selected Surfaces - W0,1,54,
2.52563,µm,Spot,Selected Surfaces - W0,1,55,
2.31756,µm,Spot,Selected Surfaces - W0,1,56,
3.40049,µm,Spot,Selected Surfaces - W0,1,57,
6.9278,µm,Spot,Selected Surfaces - W0,1,58,
1.65028,µm,Spot,Selected Surfaces - W0,1,59,
1.91688,µm,Spot,Selected Surfaces - W0,1,60,
3.4979,µm,Spot,Selected Surfaces - W0,1,61,
3.528,µm,Spot,Selected Surfaces - W0,1,62,
1.76127,µm,Spot,Selected Surfaces - W0,1,63,
