
Selection
 ==================== 
Shortest Distance to Spots,Unit,Category,Spots,Time,Set 1,ID,
2.44904,,Spot,Selected Surfaces - W2,1,ibranched,0,
1.1596,,Spot,Selected Surfaces - W2,1,ibranched,2,
3.14033,,Spot,Selected Surfaces - W2,1,ibranched,3,
1.4968,,Spot,Selected Surfaces - W2,1,ibranched,4,
1.26105,,Spot,Selected Surfaces - W2,1,ibranched,5,
2.06245,,Spot,Selected Surfaces - W2,1,ibranched,6,
1.71106,,Spot,Selected Surfaces - W2,1,ibranched,7,
0.92826,,Spot,Selected Surfaces - W2,1,ibranched,8,
0.92826,,Spot,Selected Surfaces - W2,1,ibranched,9,
1.29974,,Spot,Selected Surfaces - W2,1,ibranched,10,
1.49633,,Spot,Selected Surfaces - W2,1,ibranched,11,
1.49681,,Spot,Selected Surfaces - W2,1,ibranched,12,
1.1596,,Spot,Selected Surfaces - W2,1,ibranched,13,
2.91216,,Spot,Selected Surfaces - W2,1,ibranched,14,
0.867266,,Spot,Selected Surfaces - W2,1,ibranched,15,
0.858498,,Spot,Selected Surfaces - W2,1,ibranched,16,
1.36443,,Spot,Selected Surfaces - W2,1,ibranched,17,
0.871832,,Spot,Selected Surfaces - W2,1,ibranched,18,
2.99961,,Spot,Selected Surfaces - W2,1,ibranched,19,
3.64806,,Spot,Selected Surfaces - W2,1,ibranched,20,
1.71163,,Spot,Selected Surfaces - W2,1,ibranched,21,
3.45791,,Spot,Selected Surfaces - W2,1,ibranched,22,
1.79269,,Spot,Selected Surfaces - W2,1,ibranched,23,
1.24107,,Spot,Selected Surfaces - W2,1,ibranched,24,
1.29974,,Spot,Selected Surfaces - W2,1,ibranched,25,
2.00296,,Spot,Selected Surfaces - W2,1,ibranched,26,
1.5467,,Spot,Selected Surfaces - W2,1,ibranched,27,
1.36443,,Spot,Selected Surfaces - W2,1,ibranched,28,
1.97241,,Spot,Selected Surfaces - W2,1,ibranched,30,
0.779055,,Spot,Selected Surfaces - W2,1,ibranched,31,
0.92826,,Spot,Selected Surfaces - W2,1,ibranched,32,
2.16549,,Spot,Selected Surfaces - W2,1,ibranched,33,
