
Selection
 ==================== 
Shortest Distance to Spots,Unit,Category,Spots,Time,Set 1,ID,
1.00897,,Spot,Selected Surfaces - W2,1,ibranched,4,
0.902298,,Spot,Selected Surfaces - W2,1,ibranched,5,
2.34834,,Spot,Selected Surfaces - W2,1,ibranched,7,
1.25703,,Spot,Selected Surfaces - W2,1,ibranched,9,
1.43729,,Spot,Selected Surfaces - W2,1,ibranched,15,
1.94561,,Spot,Selected Surfaces - W2,1,ibranched,17,
1.53736,,Spot,Selected Surfaces - W2,1,ibranched,18,
2.48552,,Spot,Selected Surfaces - W2,1,ibranched,19,
1.90275,,Spot,Selected Surfaces - W2,1,ibranched,21,
1.02519,,Spot,Selected Surfaces - W2,1,ibranched,24,
1.80975,,Spot,Selected Surfaces - W2,1,ibranched,25,
1.99634,,Spot,Selected Surfaces - W2,1,ibranched,27,
2.88243,,Spot,Selected Surfaces - W2,1,ibranched,28,
4.49033,,Spot,Selected Surfaces - W2,1,ibranched,29,
3.51119,,Spot,Selected Surfaces - W2,1,ibranched,30,
1.74638,,Spot,Selected Surfaces - W2,1,ibranched,34,
1.05826,,Spot,Selected Surfaces - W2,1,ibranched,37,
3.59847,,Spot,Selected Surfaces - W2,1,ibranched,41,
1.29974,,Spot,Selected Surfaces - W2,1,ibranched,43,
0.607329,,Spot,Selected Surfaces - W2,1,ibranched,44,
0.688931,,Spot,Selected Surfaces - W2,1,ibranched,47,
1.97862,,Spot,Selected Surfaces - W2,1,ibranched,48,
0.587083,,Spot,Selected Surfaces - W2,1,ibranched,49,
0.4151,,Spot,Selected Surfaces - W2,1,ibranched,50,
1.93838,,Spot,Selected Surfaces - W2,1,ibranched,51,
1.15962,,Spot,Selected Surfaces - W2,1,ibranched,52,
2.39149,,Spot,Selected Surfaces - W2,1,ibranched,53,
1.36444,,Spot,Selected Surfaces - W2,1,ibranched,55,
1.04482,,Spot,Selected Surfaces - W2,1,ibranched,57,
2.68728,,Spot,Selected Surfaces - W2,1,ibranched,58,
2.5611,,Spot,Selected Surfaces - W2,1,ibranched,60,
1.4968,,Spot,Selected Surfaces - W2,1,ibranched,61,
2.49942,,Spot,Selected Surfaces - W2,1,ibranched,63,
2.2445,,Spot,Selected Surfaces - W2,1,ibranched,66,
3.15616,,Spot,Selected Surfaces - W2,1,ibranched,69,
1.71163,,Spot,Selected Surfaces - W2,1,ibranched,70,
2.08439,,Spot,Selected Surfaces - W2,1,ibranched,72,
1.98234,,Spot,Selected Surfaces - W2,1,ibranched,73,
2.62342,,Spot,Selected Surfaces - W2,1,ibranched,76,
4.1096,,Spot,Selected Surfaces - W2,1,ibranched,77,
1.65025,,Spot,Selected Surfaces - W2,1,ibranched,78,
1.08274,,Spot,Selected Surfaces - W2,1,ibranched,79,
2.63243,,Spot,Selected Surfaces - W2,1,ibranched,80,
0.415131,,Spot,Selected Surfaces - W2,1,ibranched,81,
1.36443,,Spot,Selected Surfaces - W2,1,ibranched,82,
1.42863,,Spot,Selected Surfaces - W2,1,ibranched,83,
4.71211,,Spot,Selected Surfaces - W2,1,ibranched,86,
1.24539,,Spot,Selected Surfaces - W2,1,ibranched,135,
2.62554,,Spot,Selected Surfaces - W2,1,ibranched,136,
1.57763,,Spot,Selected Surfaces - W2,1,ibranched,140,
1.49021,,Spot,Selected Surfaces - W2,1,ibranched,155,
1.9384,,Spot,Selected Surfaces - W2,1,ibranched,156,
1.16497,,Spot,Selected Surfaces - W2,1,ibranched,157,
1.29162,,Spot,Selected Surfaces - W2,1,ibranched,158,
2.63514,,Spot,Selected Surfaces - W2,1,ibranched,161,
2.16549,,Spot,Selected Surfaces - W2,1,ibranched,163,
0.877873,,Spot,Selected Surfaces - W2,1,ibranched,164,
1.36443,,Spot,Selected Surfaces - W2,1,ibranched,171,
0.872993,,Spot,Selected Surfaces - W2,1,ibranched,174,
2.0513,,Spot,Selected Surfaces - W2,1,ibranched,177,
1.36442,,Spot,Selected Surfaces - W2,1,ibranched,182,
4.0082,,Spot,Selected Surfaces - W2,1,ibranched,185,
0.92826,,Spot,Selected Surfaces - W2,1,ibranched,187,
3.38231,,Spot,Selected Surfaces - W2,1,ibranched,191,
0.860407,,Spot,Selected Surfaces - W2,1,ibranched,194,
2.20493,,Spot,Selected Surfaces - W2,1,ibranched,196,
3.27466,,Spot,Selected Surfaces - W2,1,ibranched,197,
1.76409,,Spot,Selected Surfaces - W2,1,ibranched,200,
