
Selection
 ==================== 
Shortest Distance to Spots,Unit,Category,Spots,Time,Set 1,ID,
3.66172,,Spot,Selected Surfaces - W2,1,ibranched,227,
5.33354,,Spot,Selected Surfaces - W2,1,ibranched,232,
1,,Spot,Selected Surfaces - W2,1,ibranched,234,
7.21817,,Spot,Selected Surfaces - W2,1,ibranched,238,
2.16549,,Spot,Selected Surfaces - W2,1,ibranched,242,
3.31595,,Spot,Selected Surfaces - W2,1,ibranched,243,
8.21259,,Spot,Selected Surfaces - W2,1,ibranched,245,
6.44319,,Spot,Selected Surfaces - W2,1,ibranched,246,
1.49677,,Spot,Selected Surfaces - W2,1,ibranched,247,
1.94737,,Spot,Selected Surfaces - W2,1,ibranched,248,
2.71594,,Spot,Selected Surfaces - W2,1,ibranched,256,
3.15618,,Spot,Selected Surfaces - W2,1,ibranched,258,
4.19826,,Spot,Selected Surfaces - W2,1,ibranched,259,
3.78471,,Spot,Selected Surfaces - W2,1,ibranched,260,
4.3184,,Spot,Selected Surfaces - W2,1,ibranched,262,
2.65815,,Spot,Selected Surfaces - W2,1,ibranched,263,
2.07565,,Spot,Selected Surfaces - W2,1,ibranched,265,
4.84126,,Spot,Selected Surfaces - W2,1,ibranched,266,
3.07193,,Spot,Selected Surfaces - W2,1,ibranched,269,
2.30398,,Spot,Selected Surfaces - W2,1,ibranched,270,
1.85652,,Spot,Selected Surfaces - W2,1,ibranched,272,
2.84003,,Spot,Selected Surfaces - W2,1,ibranched,273,
3.83458,,Spot,Selected Surfaces - W2,1,ibranched,274,
2.97261,,Spot,Selected Surfaces - W2,1,ibranched,275,
1.91433,,Spot,Selected Surfaces - W2,1,ibranched,276,
3.82736,,Spot,Selected Surfaces - W2,1,ibranched,283,
2.06383,,Spot,Selected Surfaces - W2,1,ibranched,288,
3.27466,,Spot,Selected Surfaces - W2,1,ibranched,289,
4.25839,,Spot,Selected Surfaces - W2,1,ibranched,291,
2.50691,,Spot,Selected Surfaces - W2,1,ibranched,292,
3.85478,,Spot,Selected Surfaces - W2,1,ibranched,294,
6.11526,,Spot,Selected Surfaces - W2,1,ibranched,295,
3.93827,,Spot,Selected Surfaces - W2,1,ibranched,296,
1.59875,,Spot,Selected Surfaces - W2,1,ibranched,297,
1.85652,,Spot,Selected Surfaces - W2,1,ibranched,298,
4.84496,,Spot,Selected Surfaces - W2,1,ibranched,299,
1.6292,,Spot,Selected Surfaces - W2,1,ibranched,300,
5.44968,,Spot,Selected Surfaces - W2,1,ibranched,302,
2.30304,,Spot,Selected Surfaces - W2,1,ibranched,303,
3.52765,,Spot,Selected Surfaces - W2,1,ibranched,304,
3.15379,,Spot,Selected Surfaces - W2,1,ibranched,307,
3.07319,,Spot,Selected Surfaces - W2,1,ibranched,308,
4.93334,,Spot,Selected Surfaces - W2,1,ibranched,311,
4.74783,,Spot,Selected Surfaces - W2,1,ibranched,312,
2.91323,,Spot,Selected Surfaces - W2,1,ibranched,314,
3.93162,,Spot,Selected Surfaces - W2,1,ibranched,315,
5.04091,,Spot,Selected Surfaces - W2,1,ibranched,316,
4.62688,,Spot,Selected Surfaces - W2,1,ibranched,318,
4.64134,,Spot,Selected Surfaces - W2,1,ibranched,321,
1.36443,,Spot,Selected Surfaces - W2,1,ibranched,324,
3.10108,,Spot,Selected Surfaces - W2,1,ibranched,325,
4.5385,,Spot,Selected Surfaces - W2,1,ibranched,326,
1.80011,,Spot,Selected Surfaces - W2,1,ibranched,328,
3.68612,,Spot,Selected Surfaces - W2,1,ibranched,334,
1.15959,,Spot,Selected Surfaces - W2,1,ibranched,336,
3.77224,,Spot,Selected Surfaces - W2,1,ibranched,337,
4.27005,,Spot,Selected Surfaces - W2,1,ibranched,339,
3.528,,Spot,Selected Surfaces - W2,1,ibranched,340,
2.44901,,Spot,Selected Surfaces - W2,1,ibranched,341,
4.14944,,Spot,Selected Surfaces - W2,1,ibranched,346,
1.52529,,Spot,Selected Surfaces - W2,1,ibranched,347,
1.5725,,Spot,Selected Surfaces - W2,1,ibranched,348,
2.34108,,Spot,Selected Surfaces - W2,1,ibranched,350,
1.65028,,Spot,Selected Surfaces - W2,1,ibranched,351,
2.74532,,Spot,Selected Surfaces - W2,1,ibranched,361,
2.39054,,Spot,Selected Surfaces - W2,1,ibranched,362,
3.89896,,Spot,Selected Surfaces - W2,1,ibranched,367,
2.29871,,Spot,Selected Surfaces - W2,1,ibranched,373,
1.31276,,Spot,Selected Surfaces - W2,1,ibranched,377,
5.27111,,Spot,Selected Surfaces - W2,1,ibranched,378,
2.31015,,Spot,Selected Surfaces - W2,1,ibranched,380,
3.20227,,Spot,Selected Surfaces - W2,1,ibranched,382,
5.47703,,Spot,Selected Surfaces - W2,1,ibranched,383,
2.49807,,Spot,Selected Surfaces - W2,1,ibranched,385,
4.73325,,Spot,Selected Surfaces - W2,1,ibranched,391,
5.52402,,Spot,Selected Surfaces - W2,1,ibranched,397,
2.83077,,Spot,Selected Surfaces - W2,1,ibranched,398,
3.74136,,Spot,Selected Surfaces - W2,1,ibranched,399,
3.89925,,Spot,Selected Surfaces - W2,1,ibranched,400,
3.49313,,Spot,Selected Surfaces - W2,1,ibranched,402,
3.39302,,Spot,Selected Surfaces - W2,1,ibranched,406,
1.93841,,Spot,Selected Surfaces - W2,1,ibranched,407,
3.19439,,Spot,Selected Surfaces - W2,1,ibranched,411,
2.30398,,Spot,Selected Surfaces - W2,1,ibranched,412,
4.6269,,Spot,Selected Surfaces - W2,1,ibranched,413,
4.80199,,Spot,Selected Surfaces - W2,1,ibranched,414,
3.79336,,Spot,Selected Surfaces - W2,1,ibranched,415,
3.49313,,Spot,Selected Surfaces - W2,1,ibranched,419,
3.552,,Spot,Selected Surfaces - W2,1,ibranched,424,
4.23809,,Spot,Selected Surfaces - W2,1,ibranched,426,
3.0222,,Spot,Selected Surfaces - W2,1,ibranched,427,
4.56152,,Spot,Selected Surfaces - W2,1,ibranched,428,
2.90091,,Spot,Selected Surfaces - W2,1,ibranched,429,
3.56625,,Spot,Selected Surfaces - W2,1,ibranched,434,
4.3895,,Spot,Selected Surfaces - W2,1,ibranched,437,
1.1596,,Spot,Selected Surfaces - W2,1,ibranched,438,
2.80951,,Spot,Selected Surfaces - W2,1,ibranched,441,
4.99615,,Spot,Selected Surfaces - W2,1,ibranched,447,
2.84531,,Spot,Selected Surfaces - W2,1,ibranched,448,
5.66268,,Spot,Selected Surfaces - W2,1,ibranched,449,
3.43615,,Spot,Selected Surfaces - W2,1,ibranched,452,
2.95887,,Spot,Selected Surfaces - W2,1,ibranched,456,
1.30732,,Spot,Selected Surfaces - W2,1,ibranched,457,
3.9928,,Spot,Selected Surfaces - W2,1,ibranched,460,
2.80954,,Spot,Selected Surfaces - W2,1,ibranched,461,
2.34109,,Spot,Selected Surfaces - W2,1,ibranched,462,
2.11676,,Spot,Selected Surfaces - W2,1,ibranched,464,
3.24718,,Spot,Selected Surfaces - W2,1,ibranched,465,
1.80011,,Spot,Selected Surfaces - W2,1,ibranched,468,
2.66497,,Spot,Selected Surfaces - W2,1,ibranched,470,
3.41018,,Spot,Selected Surfaces - W2,1,ibranched,472,
1.65025,,Spot,Selected Surfaces - W2,1,ibranched,475,
3.0569,,Spot,Selected Surfaces - W2,1,ibranched,477,
4.84124,,Spot,Selected Surfaces - W2,1,ibranched,479,
4.00822,,Spot,Selected Surfaces - W2,1,ibranched,481,
2.99941,,Spot,Selected Surfaces - W2,1,ibranched,483,
1.31237,,Spot,Selected Surfaces - W2,1,ibranched,485,
2.9777,,Spot,Selected Surfaces - W2,1,ibranched,487,
4.20911,,Spot,Selected Surfaces - W2,1,ibranched,488,
4.09329,,Spot,Selected Surfaces - W2,1,ibranched,491,
0.830261,,Spot,Selected Surfaces - W2,1,ibranched,492,
3.0054,,Spot,Selected Surfaces - W2,1,ibranched,493,
1.65023,,Spot,Selected Surfaces - W2,1,ibranched,498,
1.92217,,Spot,Selected Surfaces - W2,1,ibranched,502,
4.664,,Spot,Selected Surfaces - W2,1,ibranched,504,
5.57025,,Spot,Selected Surfaces - W2,1,ibranched,505,
1.86692,,Spot,Selected Surfaces - W2,1,ibranched,506,
3.02013,,Spot,Selected Surfaces - W2,1,ibranched,508,
1.65025,,Spot,Selected Surfaces - W2,1,ibranched,513,
4.11839,,Spot,Selected Surfaces - W2,1,ibranched,519,
2.36624,,Spot,Selected Surfaces - W2,1,ibranched,520,
3.24822,,Spot,Selected Surfaces - W2,1,ibranched,521,
5.08543,,Spot,Selected Surfaces - W2,1,ibranched,525,
3.89929,,Spot,Selected Surfaces - W2,1,ibranched,526,
2.34108,,Spot,Selected Surfaces - W2,1,ibranched,528,
3.09281,,Spot,Selected Surfaces - W2,1,ibranched,529,
2.39235,,Spot,Selected Surfaces - W2,1,ibranched,530,
1.2125,,Spot,Selected Surfaces - W2,1,ibranched,531,
3.68732,,Spot,Selected Surfaces - W2,1,ibranched,532,
1.93838,,Spot,Selected Surfaces - W2,1,ibranched,533,
1.54229,,Spot,Selected Surfaces - W2,1,ibranched,535,
4.83773,,Spot,Selected Surfaces - W2,1,ibranched,536,
3.22159,,Spot,Selected Surfaces - W2,1,ibranched,537,
4.61151,,Spot,Selected Surfaces - W2,1,ibranched,541,
1.54229,,Spot,Selected Surfaces - W2,1,ibranched,542,
3.56635,,Spot,Selected Surfaces - W2,1,ibranched,545,
4.29021,,Spot,Selected Surfaces - W2,1,ibranched,546,
3.47178,,Spot,Selected Surfaces - W2,1,ibranched,550,
