 ,Area,Mean,MinThr,MaxThr
1,1696,2.787,2,32767
2,1596,2.816,2,32767
3,1337,2.771,2,32767
4,1450,2.774,2,32767
5,1491,2.731,2,32767
6,1558,2.753,2,32767
7,1770,2.717,2,32767
8,1541,2.811,2,32767
9,1538,2.700,2,32767
10,1623,2.705,2,32767
11,1487,2.767,2,32767
12,1550,2.705,2,32767
13,1443,2.796,2,32767
14,1379,2.619,2,32767
15,1181,2.912,2,32767
16,1251,2.816,2,32767
17,1238,2.777,2,32767
18,1266,2.752,2,32767
19,1515,2.692,2,32767
20,1426,2.741,2,32767
21,1483,2.723,2,32767
22,1478,2.715,2,32767
23,1475,2.714,2,32767
24,1338,2.796,2,32767
25,1461,2.708,2,32767
26,1500,2.725,2,32767
27,1309,2.763,2,32767
28,1301,2.762,2,32767
29,1374,2.728,2,32767
30,1241,2.781,2,32767
31,1264,2.813,2,32767
32,1404,2.673,2,32767
33,1389,2.797,2,32767
34,1418,2.742,2,32767
35,1629,2.642,2,32767
36,1634,2.615,2,32767
37,1679,2.655,2,32767
38,2048,2.553,2,32767
39,1985,2.527,2,32767
40,2305,2.461,2,32767
41,2154,2.460,2,32767
42,1688,2.563,2,32767
43,1518,2.594,2,32767
44,1300,2.741,2,32767
45,1183,2.788,2,32767
46,1234,2.730,2,32767
47,1138,2.775,2,32767
48,1122,2.893,2,32767
49,1313,2.760,2,32767
50,1216,2.884,2,32767
51,1594,2.610,2,32767
52,1353,2.628,2,32767
53,1656,2.617,2,32767
54,1705,2.449,2,32767
55,1539,2.681,2,32767
56,1264,2.822,2,32767
57,1243,2.782,2,32767
58,1491,2.738,2,32767
59,1360,2.785,2,32767
60,1482,2.720,2,32767
61,1304,2.786,2,32767
62,1337,2.913,2,32767
63,1249,2.821,2,32767
64,1412,2.744,2,32767
65,1097,2.891,2,32767
66,937,2.762,2,32767
67,1121,2.834,2,32767
68,1255,2.792,2,32767
69,1262,2.553,2,32767
70,1484,2.493,2,32767
71,1451,2.434,2,32767
72,1586,2.587,2,32767
73,1441,2.683,2,32767
74,1563,2.463,2,32767
75,1357,2.845,2,32767
76,1323,2.786,2,32767
77,1371,2.634,2,32767
78,1332,2.572,2,32767
79,1357,2.732,2,32767
80,1565,2.450,2,32767
81,1366,2.501,2,32767
82,1476,2.732,2,32767
83,1598,2.413,2,32767
84,1492,2.543,2,32767
85,1728,2.420,2,32767
86,1717,2.618,2,32767
87,1999,2.553,2,32767
88,1974,2.481,2,32767
89,2038,2.368,2,32767
90,2131,2.483,2,32767
91,2163,2.403,2,32767
92,2262,2.252,2,32767
93,2187,2.551,2,32767
94,2497,2.527,2,32767
95,2096,2.473,2,32767
96,2036,2.533,2,32767
97,2029,2.483,2,32767
98,2206,2.506,2,32767
99,2383,2.527,2,32767
100,2442,2.715,2,32767
101,2387,2.631,2,32767
102,2465,2.672,2,32767
103,2674,2.565,2,32767
104,2732,2.519,2,32767
105,3034,2.601,2,32767
106,2952,2.676,2,32767
107,3252,2.650,2,32767
108,3396,2.753,2,32767
109,3203,2.882,2,32767
110,3791,2.920,2,32767
111,3511,2.959,2,32767
112,3808,2.889,2,32767
113,3421,2.963,2,32767
114,3454,2.980,2,32767
115,3374,3.034,2,32767
116,3106,3.030,2,32767
117,3172,2.952,2,32767
118,3232,3.044,2,32767
119,2938,3.149,2,32767
120,2890,3.154,2,32767
121,2752,3.136,2,32767
122,2590,3.250,2,32767
123,2430,3.307,2,32767
124,2702,3.107,2,32767
125,2614,3.081,2,32767
126,2541,3.087,2,32767
127,2598,3.083,2,32767
128,2219,3.283,2,32767
129,2403,3.042,2,32767
130,2151,3.228,2,32767
131,2395,3.187,2,32767
132,2353,3.071,2,32767
133,2223,3.046,2,32767
134,2152,3.152,2,32767
135,2025,3.073,2,32767
136,1880,3.235,2,32767
137,2040,3.105,2,32767
138,1802,3.058,2,32767
139,1775,3.079,2,32767
140,1698,3.118,2,32767
141,1859,2.903,2,32767
142,1508,3.062,2,32767
143,1484,2.982,2,32767
144,1449,2.957,2,32767
145,1388,2.934,2,32767
146,1334,2.821,2,32767
147,1371,2.796,2,32767
148,1457,2.814,2,32767
149,1494,2.752,2,32767
150,1402,2.661,2,32767
151,1185,2.788,2,32767
152,1248,2.723,2,32767
153,1221,2.729,2,32767
154,1082,2.630,2,32767
155,1302,2.626,2,32767
156,1187,2.631,2,32767
157,1147,2.535,2,32767
158,1315,2.540,2,32767
159,1464,2.630,2,32767
160,1530,2.598,2,32767
161,1401,2.676,2,32767
162,1426,2.610,2,32767
163,1511,2.520,2,32767
164,1504,2.753,2,32767
165,1382,2.797,2,32767
166,1272,2.902,2,32767
167,1188,2.887,2,32767
168,1335,2.740,2,32767
169,1374,2.768,2,32767
170,1249,2.791,2,32767
171,1195,2.779,2,32767
172,1007,2.846,2,32767
173,1061,2.814,2,32767
174,1085,2.788,2,32767
175,1223,2.739,2,32767
176,1224,2.763,2,32767
177,1145,2.679,2,32767
178,1213,2.677,2,32767
179,1228,2.810,2,32767
180,1217,2.838,2,32767
181,1090,2.874,2,32767
182,1272,2.732,2,32767
183,1321,2.699,2,32767
184,1178,2.727,2,32767
185,1383,2.758,2,32767
186,1477,2.708,2,32767
187,1330,2.738,2,32767
188,1259,2.732,2,32767
189,1256,2.783,2,32767
190,1318,2.787,2,32767
191,1473,2.682,2,32767
192,1307,2.705,2,32767
193,1202,2.782,2,32767
194,1220,2.771,2,32767
195,1335,2.785,2,32767
196,1179,2.813,2,32767
197,1004,2.816,2,32767
198,1048,2.900,2,32767
199,952,2.818,2,32767
200,1157,2.756,2,32767
