
Detailed
 ==================== 
Shortest Distance to Spots,Unit,Category,Spots,Time,ID,
10.3402,,Spot,Selected Surfaces - W2,1,0,
4.32022,,Spot,Selected Surfaces - W2,1,1,
26.2719,,Spot,Selected Surfaces - W2,1,2,
21.6949,,Spot,Selected Surfaces - W2,1,3,
31.3463,,Spot,Selected Surfaces - W2,1,4,
22.1545,,Spot,Selected Surfaces - W2,1,5,
3.71307,,Spot,Selected Surfaces - W2,1,6,
12.6523,,Spot,Selected Surfaces - W2,1,7,
2.36663,,Spot,Selected Surfaces - W2,1,8,
9.72818,,Spot,Selected Surfaces - W2,1,9,
3.49309,,Spot,Selected Surfaces - W2,1,10,
15.2198,,Spot,Selected Surfaces - W2,1,11,
24.35,,Spot,Selected Surfaces - W2,1,12,
28.3873,,Spot,Selected Surfaces - W2,1,13,
8.31283,,Spot,Selected Surfaces - W2,1,14,
23.2069,,Spot,Selected Surfaces - W2,1,15,
3.17516,,Spot,Selected Surfaces - W2,1,16,
13.0952,,Spot,Selected Surfaces - W2,1,17,
10.3855,,Spot,Selected Surfaces - W2,1,18,
5.67397,,Spot,Selected Surfaces - W2,1,19,
28.6095,,Spot,Selected Surfaces - W2,1,20,
9.16146,,Spot,Selected Surfaces - W2,1,21,
24.4665,,Spot,Selected Surfaces - W2,1,22,
8.33168,,Spot,Selected Surfaces - W2,1,23,
26.5618,,Spot,Selected Surfaces - W2,1,24,
10.4001,,Spot,Selected Surfaces - W2,1,25,
1.21032,,Spot,Selected Surfaces - W2,1,26,
28.2107,,Spot,Selected Surfaces - W2,1,27,
7.24057,,Spot,Selected Surfaces - W2,1,28,
9.71219,,Spot,Selected Surfaces - W2,1,29,
7.7753,,Spot,Selected Surfaces - W2,1,30,
1.56997,,Spot,Selected Surfaces - W2,1,31,
14.1042,,Spot,Selected Surfaces - W2,1,32,
25.8049,,Spot,Selected Surfaces - W2,1,33,
26.7587,,Spot,Selected Surfaces - W2,1,34,
0.293542,,Spot,Selected Surfaces - W2,1,35,
8.30483,,Spot,Selected Surfaces - W2,1,36,
9.32165,,Spot,Selected Surfaces - W2,1,37,
25.2585,,Spot,Selected Surfaces - W2,1,38,
10.4311,,Spot,Selected Surfaces - W2,1,39,
10.2322,,Spot,Selected Surfaces - W2,1,40,
12.7435,,Spot,Selected Surfaces - W2,1,41,
9.33635,,Spot,Selected Surfaces - W2,1,42,
9.97322,,Spot,Selected Surfaces - W2,1,43,
22.4735,,Spot,Selected Surfaces - W2,1,44,
26.9903,,Spot,Selected Surfaces - W2,1,45,
9.7074,,Spot,Selected Surfaces - W2,1,46,
9.86063,,Spot,Selected Surfaces - W2,1,47,
25.8309,,Spot,Selected Surfaces - W2,1,48,
24.6056,,Spot,Selected Surfaces - W2,1,49,
9.84136,,Spot,Selected Surfaces - W2,1,50,
13.4645,,Spot,Selected Surfaces - W2,1,51,
7.93981,,Spot,Selected Surfaces - W2,1,52,
29.5547,,Spot,Selected Surfaces - W2,1,53,
27.404,,Spot,Selected Surfaces - W2,1,54,
18.1303,,Spot,Selected Surfaces - W2,1,55,
26.5378,,Spot,Selected Surfaces - W2,1,56,
7.05518,,Spot,Selected Surfaces - W2,1,57,
14.2196,,Spot,Selected Surfaces - W2,1,58,
29.4164,,Spot,Selected Surfaces - W2,1,59,
11.9243,,Spot,Selected Surfaces - W2,1,60,
15.9093,,Spot,Selected Surfaces - W2,1,61,
6.06428,,Spot,Selected Surfaces - W2,1,62,
16.1233,,Spot,Selected Surfaces - W2,1,63,
9.97363,,Spot,Selected Surfaces - W2,1,64,
11.0213,,Spot,Selected Surfaces - W2,1,65,
23.8784,,Spot,Selected Surfaces - W2,1,66,
22.8714,,Spot,Selected Surfaces - W2,1,67,
4.64768,,Spot,Selected Surfaces - W2,1,68,
9.06202,,Spot,Selected Surfaces - W2,1,69,
15.0176,,Spot,Selected Surfaces - W2,1,70,
26.3588,,Spot,Selected Surfaces - W2,1,71,
28.3335,,Spot,Selected Surfaces - W2,1,72,
22.5204,,Spot,Selected Surfaces - W2,1,73,
11.3553,,Spot,Selected Surfaces - W2,1,74,
24.0511,,Spot,Selected Surfaces - W2,1,75,
13.0821,,Spot,Selected Surfaces - W2,1,76,
23.5628,,Spot,Selected Surfaces - W2,1,77,
26.3919,,Spot,Selected Surfaces - W2,1,78,
27.8684,,Spot,Selected Surfaces - W2,1,79,
13.0952,,Spot,Selected Surfaces - W2,1,80,
16.6102,,Spot,Selected Surfaces - W2,1,81,
25.7613,,Spot,Selected Surfaces - W2,1,82,
26.7996,,Spot,Selected Surfaces - W2,1,83,
27.3621,,Spot,Selected Surfaces - W2,1,84,
14.9806,,Spot,Selected Surfaces - W2,1,85,
25.883,,Spot,Selected Surfaces - W2,1,86,
21.3008,,Spot,Selected Surfaces - W2,1,87,
16.1093,,Spot,Selected Surfaces - W2,1,88,
15.1587,,Spot,Selected Surfaces - W2,1,89,
23.4768,,Spot,Selected Surfaces - W2,1,90,
26.7419,,Spot,Selected Surfaces - W2,1,91,
19.8663,,Spot,Selected Surfaces - W2,1,92,
17.4048,,Spot,Selected Surfaces - W2,1,93,
18.394,,Spot,Selected Surfaces - W2,1,94,
15.8462,,Spot,Selected Surfaces - W2,1,95,
12.7131,,Spot,Selected Surfaces - W2,1,96,
17.3032,,Spot,Selected Surfaces - W2,1,97,
30.8786,,Spot,Selected Surfaces - W2,1,98,
16.9234,,Spot,Selected Surfaces - W2,1,99,
15.0674,,Spot,Selected Surfaces - W2,1,100,
12.6776,,Spot,Selected Surfaces - W2,1,101,
18.4506,,Spot,Selected Surfaces - W2,1,102,
11.7329,,Spot,Selected Surfaces - W2,1,103,
17.0642,,Spot,Selected Surfaces - W2,1,104,
25.4262,,Spot,Selected Surfaces - W2,1,105,
23.9861,,Spot,Selected Surfaces - W2,1,106,
31.4095,,Spot,Selected Surfaces - W2,1,107,
21.3261,,Spot,Selected Surfaces - W2,1,108,
17.6063,,Spot,Selected Surfaces - W2,1,109,
20.5505,,Spot,Selected Surfaces - W2,1,110,
13.3799,,Spot,Selected Surfaces - W2,1,111,
14.1716,,Spot,Selected Surfaces - W2,1,112,
30.9814,,Spot,Selected Surfaces - W2,1,113,
14.3098,,Spot,Selected Surfaces - W2,1,114,
25.2537,,Spot,Selected Surfaces - W2,1,115,
23.7857,,Spot,Selected Surfaces - W2,1,116,
20.5235,,Spot,Selected Surfaces - W2,1,117,
21.6446,,Spot,Selected Surfaces - W2,1,118,
14.4404,,Spot,Selected Surfaces - W2,1,119,
24.8582,,Spot,Selected Surfaces - W2,1,120,
20.4105,,Spot,Selected Surfaces - W2,1,121,
13.9847,,Spot,Selected Surfaces - W2,1,122,
19.9494,,Spot,Selected Surfaces - W2,1,123,
24.7657,,Spot,Selected Surfaces - W2,1,124,
20.749,,Spot,Selected Surfaces - W2,1,125,
18.1144,,Spot,Selected Surfaces - W2,1,126,
22.9108,,Spot,Selected Surfaces - W2,1,127,
23.1802,,Spot,Selected Surfaces - W2,1,128,
17.4307,,Spot,Selected Surfaces - W2,1,129,
17.6765,,Spot,Selected Surfaces - W2,1,130,
24.1408,,Spot,Selected Surfaces - W2,1,131,
14.2001,,Spot,Selected Surfaces - W2,1,132,
14.7197,,Spot,Selected Surfaces - W2,1,133,
22.1147,,Spot,Selected Surfaces - W2,1,134,
22.3172,,Spot,Selected Surfaces - W2,1,135,
16.6602,,Spot,Selected Surfaces - W2,1,136,
15.061,,Spot,Selected Surfaces - W2,1,137,
15.8153,,Spot,Selected Surfaces - W2,1,138,
24.1729,,Spot,Selected Surfaces - W2,1,139,
17.0404,,Spot,Selected Surfaces - W2,1,140,
17.2564,,Spot,Selected Surfaces - W2,1,141,
9.67361,,Spot,Selected Surfaces - W2,1,142,
13.1104,,Spot,Selected Surfaces - W2,1,143,
8.68831,,Spot,Selected Surfaces - W2,1,144,
18.6115,,Spot,Selected Surfaces - W2,1,145,
12.4565,,Spot,Selected Surfaces - W2,1,146,
12.2518,,Spot,Selected Surfaces - W2,1,147,
17.8729,,Spot,Selected Surfaces - W2,1,148,
21.9742,,Spot,Selected Surfaces - W2,1,149,
23.7466,,Spot,Selected Surfaces - W2,1,150,
11.4313,,Spot,Selected Surfaces - W2,1,151,
18.5337,,Spot,Selected Surfaces - W2,1,152,
9.39733,,Spot,Selected Surfaces - W2,1,153,
4.61088,,Spot,Selected Surfaces - W2,1,154,
2.53977,,Spot,Selected Surfaces - W2,1,155,
9.96331,,Spot,Selected Surfaces - W2,1,156,
5.28258,,Spot,Selected Surfaces - W2,1,157,
7.23546,,Spot,Selected Surfaces - W2,1,158,
8.70947,,Spot,Selected Surfaces - W2,1,159,
4.00821,,Spot,Selected Surfaces - W2,1,160,
4.62688,,Spot,Selected Surfaces - W2,1,161,
3.87779,,Spot,Selected Surfaces - W2,1,162,
3.85479,,Spot,Selected Surfaces - W2,1,163,
3.31861,,Spot,Selected Surfaces - W2,1,164,
3.34692,,Spot,Selected Surfaces - W2,1,165,
3.46836,,Spot,Selected Surfaces - W2,1,166,
