
Detailed
 ==================== 
Shortest Distance to Spots,Unit,Category,Spots,Time,ID,
2.38389,,Spot,Selected Surfaces - W0,1,0,
6.78846,,Spot,Selected Surfaces - W0,1,1,
3.31592,,Spot,Selected Surfaces - W0,1,2,
2.07152,,Spot,Selected Surfaces - W0,1,3,
0.926992,,Spot,Selected Surfaces - W0,1,4,
10.8098,,Spot,Selected Surfaces - W0,1,5,
4.07375,,Spot,Selected Surfaces - W0,1,6,
2.34108,,Spot,Selected Surfaces - W0,1,7,
2.55701,,Spot,Selected Surfaces - W0,1,8,
8.24015,,Spot,Selected Surfaces - W0,1,9,
8.02517,,Spot,Selected Surfaces - W0,1,10,
8.55818,,Spot,Selected Surfaces - W0,1,11,
13.3364,,Spot,Selected Surfaces - W0,1,12,
3.34282,,Spot,Selected Surfaces - W0,1,13,
8.47953,,Spot,Selected Surfaces - W0,1,14,
3.33727,,Spot,Selected Surfaces - W0,1,15,
13.2196,,Spot,Selected Surfaces - W0,1,16,
13.4163,,Spot,Selected Surfaces - W0,1,17,
3.88264,,Spot,Selected Surfaces - W0,1,18,
3.18091,,Spot,Selected Surfaces - W0,1,19,
3.51856,,Spot,Selected Surfaces - W0,1,20,
3.82839,,Spot,Selected Surfaces - W0,1,21,
4.22581,,Spot,Selected Surfaces - W0,1,22,
4.29322,,Spot,Selected Surfaces - W0,1,23,
3.3668,,Spot,Selected Surfaces - W0,1,24,
5.48064,,Spot,Selected Surfaces - W0,1,25,
8.99835,,Spot,Selected Surfaces - W0,1,26,
7.42383,,Spot,Selected Surfaces - W0,1,27,
6.69912,,Spot,Selected Surfaces - W0,1,28,
1.10246,,Spot,Selected Surfaces - W0,1,29,
3.39299,,Spot,Selected Surfaces - W0,1,30,
2.62555,,Spot,Selected Surfaces - W0,1,31,
3.28253,,Spot,Selected Surfaces - W0,1,32,
2.83892,,Spot,Selected Surfaces - W0,1,33,
3.82655,,Spot,Selected Surfaces - W0,1,34,
4.49035,,Spot,Selected Surfaces - W0,1,35,
4.60799,,Spot,Selected Surfaces - W0,1,36,
4.08859,,Spot,Selected Surfaces - W0,1,37,
4.39749,,Spot,Selected Surfaces - W0,1,38,
2.48161,,Spot,Selected Surfaces - W0,1,39,
3.34689,,Spot,Selected Surfaces - W0,1,40,
4.50853,,Spot,Selected Surfaces - W0,1,41,
2.98143,,Spot,Selected Surfaces - W0,1,42,
3.0222,,Spot,Selected Surfaces - W0,1,43,
2.42061,,Spot,Selected Surfaces - W0,1,44,
2.80756,,Spot,Selected Surfaces - W0,1,45,
2.82889,,Spot,Selected Surfaces - W0,1,46,
3.11266,,Spot,Selected Surfaces - W0,1,47,
2.87601,,Spot,Selected Surfaces - W0,1,48,
3.26518,,Spot,Selected Surfaces - W0,1,49,
2.61905,,Spot,Selected Surfaces - W0,1,50,
3.80981,,Spot,Selected Surfaces - W0,1,51,
12.4787,,Spot,Selected Surfaces - W0,1,52,
11.3828,,Spot,Selected Surfaces - W0,1,53,
3.03191,,Spot,Selected Surfaces - W0,1,54,
2.49807,,Spot,Selected Surfaces - W0,1,55,
2.42061,,Spot,Selected Surfaces - W0,1,56,
2.80951,,Spot,Selected Surfaces - W0,1,57,
4.31838,,Spot,Selected Surfaces - W0,1,58,
3.01749,,Spot,Selected Surfaces - W0,1,59,
5.53611,,Spot,Selected Surfaces - W0,1,60,
2.23558,,Spot,Selected Surfaces - W0,1,61,
2.34472,,Spot,Selected Surfaces - W0,1,62,
5.50427,,Spot,Selected Surfaces - W0,1,63,
3.0846,,Spot,Selected Surfaces - W0,1,64,
2.66261,,Spot,Selected Surfaces - W0,1,65,
0.766072,,Spot,Selected Surfaces - W0,1,66,
