 ,Area,Mean,MinThr,MaxThr
1,240.267,3.120,2,32767
2,233.854,3.098,2,32767
3,238.859,3.046,2,32767
4,224.781,3.006,2,32767
5,230.569,3.012,2,32767
6,226.502,2.920,2,32767
7,230.100,2.903,2,32767
8,206.793,3.053,2,32767
9,211.485,3.069,2,32767
10,214.927,3.099,2,32767
11,206.010,3.125,2,32767
12,207.888,3.107,2,32767
13,209.921,3.118,2,32767
14,225.251,3.089,2,32767
15,217.742,3.057,2,32767
16,223.999,3.048,2,32767
17,226.815,3.057,2,32767
18,225.876,3.034,2,32767
19,238.390,2.946,2,32767
20,234.480,2.941,2,32767
21,215.396,2.812,2,32767
22,224.781,2.951,2,32767
23,239.954,2.856,2,32767
24,254.502,2.792,2,32767
25,229.005,2.854,2,32767
26,255.284,2.765,2,32767
27,271.083,2.781,2,32767
28,277.965,2.756,2,32767
29,256.692,2.787,2,32767
30,268.424,2.774,2,32767
31,279.843,2.679,2,32767
32,267.954,2.811,2,32767
33,237.452,2.827,2,32767
34,229.474,2.868,2,32767
35,228.223,2.958,2,32767
36,219.932,2.902,2,32767
37,194.748,2.975,2,32767
38,209.452,2.910,2,32767
39,203.508,2.945,2,32767
40,223.373,2.922,2,32767
41,219.463,2.910,2,32767
42,184.580,2.984,2,32767
43,208.670,2.968,2,32767
44,185.206,2.966,2,32767
45,193.184,2.875,2,32767
46,200.692,3.023,2,32767
47,208.357,2.955,2,32767
48,200.066,2.907,2,32767
49,195.061,2.937,2,32767
50,212.737,2.866,2,32767
51,218.055,2.720,2,32767
52,257.318,2.698,2,32767
53,261.228,2.669,2,32767
54,253.720,2.742,2,32767
55,233.541,2.727,2,32767
56,213.050,2.780,2,32767
57,209.452,2.808,2,32767
58,193.966,2.802,2,32767
59,224.156,2.745,2,32767
60,212.580,2.826,2,32767
61,193.966,2.796,2,32767
62,213.675,2.773,2,32767
63,220.089,2.795,2,32767
64,208.357,2.869,2,32767
65,205.698,2.896,2,32767
66,202.256,2.940,2,32767
67,230.413,2.913,2,32767
68,222.435,2.768,2,32767
69,228.223,2.716,2,32767
70,226.502,2.683,2,32767
71,225.251,2.754,2,32767
72,213.362,2.898,2,32767
73,234.010,2.932,2,32767
74,235.418,2.823,2,32767
75,215.396,2.969,2,32767
76,222.904,2.865,2,32767
