
Selection
 ==================== 
Shortest Distance to Spots,Unit,Category,Spots,Time,Set 1,ID,
5.1592,,Spot,Selected Surfaces - W2,1,ibranched,173,
4.21742,,Spot,Selected Surfaces - W2,1,ibranched,180,
3.31592,,Spot,Selected Surfaces - W2,1,ibranched,184,
4.62688,,Spot,Selected Surfaces - W2,1,ibranched,187,
2.42061,,Spot,Selected Surfaces - W2,1,ibranched,188,
5.70299,,Spot,Selected Surfaces - W2,1,ibranched,214,
4.35837,,Spot,Selected Surfaces - W2,1,ibranched,235,
6.29111,,Spot,Selected Surfaces - W2,1,ibranched,268,
2.61903,,Spot,Selected Surfaces - W2,1,ibranched,282,
8.18693,,Spot,Selected Surfaces - W2,1,ibranched,292,
2.80951,,Spot,Selected Surfaces - W2,1,ibranched,297,
6.10432,,Spot,Selected Surfaces - W2,1,ibranched,299,
5.45978,,Spot,Selected Surfaces - W2,1,ibranched,300,
4.10051,,Spot,Selected Surfaces - W2,1,ibranched,309,
3.86463,,Spot,Selected Surfaces - W2,1,ibranched,327,
4.09329,,Spot,Selected Surfaces - W2,1,ibranched,328,
2.84001,,Spot,Selected Surfaces - W2,1,ibranched,333,
2.63309,,Spot,Selected Surfaces - W2,1,ibranched,336,
3.88711,,Spot,Selected Surfaces - W2,1,ibranched,342,
6.05887,,Spot,Selected Surfaces - W2,1,ibranched,346,
4.04285,,Spot,Selected Surfaces - W2,1,ibranched,347,
6.69386,,Spot,Selected Surfaces - W2,1,ibranched,354,
2,,Spot,Selected Surfaces - W2,1,ibranched,356,
4.124,,Spot,Selected Surfaces - W2,1,ibranched,357,
5.83718,,Spot,Selected Surfaces - W2,1,ibranched,360,
5.45893,,Spot,Selected Surfaces - W2,1,ibranched,361,
4.41291,,Spot,Selected Surfaces - W2,1,ibranched,362,
3.12637,,Spot,Selected Surfaces - W2,1,ibranched,364,
4.71365,,Spot,Selected Surfaces - W2,1,ibranched,369,
2.88243,,Spot,Selected Surfaces - W2,1,ibranched,379,
1.65027,,Spot,Selected Surfaces - W2,1,ibranched,381,
4.69844,,Spot,Selected Surfaces - W2,1,ibranched,396,
5.21554,,Spot,Selected Surfaces - W2,1,ibranched,399,
2.78434,,Spot,Selected Surfaces - W2,1,ibranched,403,
5.21045,,Spot,Selected Surfaces - W2,1,ibranched,406,
3.47879,,Spot,Selected Surfaces - W2,1,ibranched,410,
3.27465,,Spot,Selected Surfaces - W2,1,ibranched,419,
4.41976,,Spot,Selected Surfaces - W2,1,ibranched,421,
4.68284,,Spot,Selected Surfaces - W2,1,ibranched,425,
3.35266,,Spot,Selected Surfaces - W2,1,ibranched,431,
3.45394,,Spot,Selected Surfaces - W2,1,ibranched,438,
4.66072,,Spot,Selected Surfaces - W2,1,ibranched,439,
4.10478,,Spot,Selected Surfaces - W2,1,ibranched,440,
3.31595,,Spot,Selected Surfaces - W2,1,ibranched,445,
3.16004,,Spot,Selected Surfaces - W2,1,ibranched,451,
3.9035,,Spot,Selected Surfaces - W2,1,ibranched,456,
