 ,Area,Mean,MinThr,MaxThr
1,294.234,2.627,2,32767
2,235.262,2.551,2,32767
3,227.441,2.596,2,32767
4,209.921,2.583,2,32767
5,230.725,2.631,2,32767
6,243.865,2.500,2,32767
7,229.787,2.530,2,32767
8,213.206,2.475,2,32767
9,222.591,2.516,2,32767
10,245.273,2.486,2,32767
11,204.133,2.556,2,32767
12,173.474,2.647,2,32767
13,216.804,2.513,2,32767
14,202.569,2.463,2,32767
15,220.089,2.517,2,32767
16,177.698,2.552,2,32767
17,202.100,2.569,2,32767
18,207.575,2.608,2,32767
19,202.256,2.559,2,32767
20,196.938,2.561,2,32767
21,186.145,2.617,2,32767
22,181.452,2.565,2,32767
23,210.860,2.552,2,32767
24,201.318,2.570,2,32767
25,186.145,2.564,2,32767
26,200.536,2.584,2,32767
27,206.323,2.508,2,32767
28,221.340,2.580,2,32767
29,213.206,2.499,2,32767
30,188.647,2.586,2,32767
31,197.720,2.655,2,32767
32,186.614,2.660,2,32767
33,209.295,2.614,2,32767
34,221.027,2.489,2,32767
35,235.575,2.515,2,32767
36,259.351,2.508,2,32767
37,245.899,2.545,2,32767
38,193.340,2.543,2,32767
39,216.022,2.585,2,32767
40,192.402,2.504,2,32767
41,207.731,2.450,2,32767
42,198.658,2.602,2,32767
43,225.407,2.465,2,32767
44,202.569,2.558,2,32767
45,227.597,2.526,2,32767
46,248.401,2.436,2,32767
47,285.317,2.422,2,32767
48,240.893,2.464,2,32767
49,241.206,2.372,2,32767
50,252.468,2.391,2,32767
51,311.284,2.431,2,32767
52,311.284,2.431,2,32767
53,275.776,2.401,2,32767
54,282.971,2.436,2,32767
55,231.977,2.508,2,32767
56,183.955,2.519,2,32767
57,151.106,2.630,2,32767
58,169.407,2.614,2,32767
59,148.446,2.523,2,32767
60,155.016,2.523,2,32767
61,176.446,2.473,2,32767
62,178.949,2.450,2,32767
63,180.513,2.512,2,32767
64,178.636,2.548,2,32767
65,174.413,2.508,2,32767
66,189.273,2.483,2,32767
67,178.323,2.533,2,32767
68,179.731,2.578,2,32767
69,189.273,2.524,2,32767
70,205.385,2.548,2,32767
71,191.776,2.496,2,32767
72,241.832,2.470,2,32767
73,257.161,2.440,2,32767
74,249.183,2.492,2,32767
75,235.262,2.439,2,32767
76,226.971,2.441,2,32767
77,203.351,2.493,2,32767
78,193.653,2.438,2,32767
79,181.608,2.551,2,32767
80,199.441,2.467,2,32767
81,213.675,2.382,2,32767
82,228.848,2.467,2,32767
83,232.290,2.463,2,32767
84,195.061,2.484,2,32767
85,215.396,2.481,2,32767
86,215.396,2.414,2,32767
87,202.882,2.443,2,32767
88,189.586,2.539,2,32767
89,173.005,2.490,2,32767
90,182.547,2.515,2,32767
91,184.111,2.446,2,32767
92,194.435,2.447,2,32767
93,202.569,2.535,2,32767
94,222.435,2.430,2,32767
95,223.686,2.457,2,32767
96,216.491,2.394,2,32767
97,254.189,2.364,2,32767
98,259.977,2.413,2,32767
99,246.524,2.425,2,32767
100,254.345,2.448,2,32767
101,260.915,2.428,2,32767
102,243.709,2.492,2,32767
103,261.385,2.391,2,32767
104,222.591,2.494,2,32767
105,220.871,2.501,2,32767
106,264.826,2.439,2,32767
107,251.373,2.519,2,32767
108,261.697,2.447,2,32767
109,243.865,2.489,2,32767
110,216.804,2.527,2,32767
111,205.854,2.539,2,32767
112,190.212,2.529,2,32767
113,225.876,2.480,2,32767
114,212.893,2.522,2,32767
115,197.720,2.537,2,32767
116,234.010,2.487,2,32767
117,202.256,2.445,2,32767
118,241.519,2.471,2,32767
119,223.686,2.486,2,32767
120,219.150,2.477,2,32767
121,213.832,2.501,2,32767
122,185.519,2.628,2,32767
123,215.709,2.520,2,32767
124,217.273,2.502,2,32767
125,225.094,2.498,2,32767
126,229.161,2.491,2,32767
127,215.396,2.442,2,32767
128,201.943,2.507,2,32767
129,221.184,2.475,2,32767
130,219.150,2.536,2,32767
131,194.279,2.588,2,32767
132,236.513,2.494,2,32767
133,192.089,2.470,2,32767
134,215.239,2.493,2,32767
135,191.307,2.469,2,32767
136,218.524,2.469,2,32767
137,207.105,2.432,2,32767
138,263.105,2.419,2,32767
139,268.893,2.444,2,32767
140,210.390,2.504,2,32767
141,227.441,2.499,2,32767
142,244.178,2.434,2,32767
143,244.178,2.412,2,32767
144,235.731,2.448,2,32767
145,237.765,2.474,2,32767
146,218.524,2.399,2,32767
147,226.346,2.495,2,32767
148,241.206,2.429,2,32767
149,199.128,2.504,2,32767
150,225.094,2.378,2,32767
151,220.245,2.460,2,32767
