
Selection
 ==================== 
Shortest Distance to Spots,Unit,Category,Spots,Time,Set 1,ID,
4.74782,,Spot,Selected Surfaces - W2,1,ibranched,668,
4.02113,,Spot,Selected Surfaces - W2,1,ibranched,685,
1.36443,,Spot,Selected Surfaces - W2,1,ibranched,687,
1.55547,,Spot,Selected Surfaces - W2,1,ibranched,700,
2.28798,,Spot,Selected Surfaces - W2,1,ibranched,714,
3.24079,,Spot,Selected Surfaces - W2,1,ibranched,718,
3.82374,,Spot,Selected Surfaces - W2,1,ibranched,724,
4.16783,,Spot,Selected Surfaces - W2,1,ibranched,727,
2.84417,,Spot,Selected Surfaces - W2,1,ibranched,749,
2.83356,,Spot,Selected Surfaces - W2,1,ibranched,773,
1.29975,,Spot,Selected Surfaces - W2,1,ibranched,780,
2.53184,,Spot,Selected Surfaces - W2,1,ibranched,783,
2.81853,,Spot,Selected Surfaces - W2,1,ibranched,797,
3.71179,,Spot,Selected Surfaces - W2,1,ibranched,799,
1.00788,,Spot,Selected Surfaces - W2,1,ibranched,811,
1.56985,,Spot,Selected Surfaces - W2,1,ibranched,815,
2.87477,,Spot,Selected Surfaces - W2,1,ibranched,827,
1.61034,,Spot,Selected Surfaces - W2,1,ibranched,851,
1.31135,,Spot,Selected Surfaces - W2,1,ibranched,856,
4.44724,,Spot,Selected Surfaces - W2,1,ibranched,859,
2.86306,,Spot,Selected Surfaces - W2,1,ibranched,860,
2.55166,,Spot,Selected Surfaces - W2,1,ibranched,862,
2.58669,,Spot,Selected Surfaces - W2,1,ibranched,863,
2.27239,,Spot,Selected Surfaces - W2,1,ibranched,865,
2.30399,,Spot,Selected Surfaces - W2,1,ibranched,866,
3.09306,,Spot,Selected Surfaces - W2,1,ibranched,884,
2.0776,,Spot,Selected Surfaces - W2,1,ibranched,888,
2.56793,,Spot,Selected Surfaces - W2,1,ibranched,895,
3.26347,,Spot,Selected Surfaces - W2,1,ibranched,917,
0.828719,,Spot,Selected Surfaces - W2,1,ibranched,961,
2.46374,,Spot,Selected Surfaces - W2,1,ibranched,995,
0,,Spot,Selected Surfaces - W2,1,ibranched,997,
3.03536,,Spot,Selected Surfaces - W2,1,ibranched,1006,
2.99961,,Spot,Selected Surfaces - W2,1,ibranched,1008,
1.1596,,Spot,Selected Surfaces - W2,1,ibranched,1019,
4.84933,,Spot,Selected Surfaces - W2,1,ibranched,1029,
1.49357,,Spot,Selected Surfaces - W2,1,ibranched,1045,
2.04263,,Spot,Selected Surfaces - W2,1,ibranched,1054,
0.682262,,Spot,Selected Surfaces - W2,1,ibranched,1067,
4.66399,,Spot,Selected Surfaces - W2,1,ibranched,1080,
1.70993,,Spot,Selected Surfaces - W2,1,ibranched,1084,
3.50929,,Spot,Selected Surfaces - W2,1,ibranched,1097,
5.75602,,Spot,Selected Surfaces - W2,1,ibranched,1098,
2.19113,,Spot,Selected Surfaces - W2,1,ibranched,1110,
1.22571,,Spot,Selected Surfaces - W2,1,ibranched,1120,
1.59719,,Spot,Selected Surfaces - W2,1,ibranched,1133,
0.92826,,Spot,Selected Surfaces - W2,1,ibranched,1142,
4.74784,,Spot,Selected Surfaces - W2,1,ibranched,1151,
0.830261,,Spot,Selected Surfaces - W2,1,ibranched,1163,
4.58157,,Spot,Selected Surfaces - W2,1,ibranched,1166,
2.54387,,Spot,Selected Surfaces - W2,1,ibranched,1178,
2.96853,,Spot,Selected Surfaces - W2,1,ibranched,1191,
4.94844,,Spot,Selected Surfaces - W2,1,ibranched,1192,
3.20781,,Spot,Selected Surfaces - W2,1,ibranched,1198,
0.976928,,Spot,Selected Surfaces - W2,1,ibranched,1211,
3.42328,,Spot,Selected Surfaces - W2,1,ibranched,1212,
2.65815,,Spot,Selected Surfaces - W2,1,ibranched,1215,
1.80009,,Spot,Selected Surfaces - W2,1,ibranched,1217,
1.1596,,Spot,Selected Surfaces - W2,1,ibranched,1218,
1.91615,,Spot,Selected Surfaces - W2,1,ibranched,1225,
1.80839,,Spot,Selected Surfaces - W2,1,ibranched,1236,
3.86714,,Spot,Selected Surfaces - W2,1,ibranched,1244,
1.59719,,Spot,Selected Surfaces - W2,1,ibranched,1251,
1.71164,,Spot,Selected Surfaces - W2,1,ibranched,1257,
1.36442,,Spot,Selected Surfaces - W2,1,ibranched,1259,
0.856079,,Spot,Selected Surfaces - W2,1,ibranched,1262,
2.31841,,Spot,Selected Surfaces - W2,1,ibranched,1265,
2.68132,,Spot,Selected Surfaces - W2,1,ibranched,1271,
1.47797,,Spot,Selected Surfaces - W2,1,ibranched,1274,
0.415131,,Spot,Selected Surfaces - W2,1,ibranched,1276,
2.52209,,Spot,Selected Surfaces - W2,1,ibranched,1286,
3.80982,,Spot,Selected Surfaces - W2,1,ibranched,1293,
0.694799,,Spot,Selected Surfaces - W2,1,ibranched,1294,
1.71297,,Spot,Selected Surfaces - W2,1,ibranched,1303,
1.80009,,Spot,Selected Surfaces - W2,1,ibranched,1309,
1.76125,,Spot,Selected Surfaces - W2,1,ibranched,1310,
3.89896,,Spot,Selected Surfaces - W2,1,ibranched,1314,
1.91082,,Spot,Selected Surfaces - W2,1,ibranched,1317,
4.58232,,Spot,Selected Surfaces - W2,1,ibranched,1320,
2.54022,,Spot,Selected Surfaces - W2,1,ibranched,1321,
1.84874,,Spot,Selected Surfaces - W2,1,ibranched,1324,
2.03857,,Spot,Selected Surfaces - W2,1,ibranched,1328,
5.21554,,Spot,Selected Surfaces - W2,1,ibranched,1329,
3.19652,,Spot,Selected Surfaces - W2,1,ibranched,1330,
3.81801,,Spot,Selected Surfaces - W2,1,ibranched,1339,
0.415131,,Spot,Selected Surfaces - W2,1,ibranched,1343,
2.30398,,Spot,Selected Surfaces - W2,1,ibranched,1351,
1.72062,,Spot,Selected Surfaces - W2,1,ibranched,1354,
3.38239,,Spot,Selected Surfaces - W2,1,ibranched,1367,
4.40984,,Spot,Selected Surfaces - W2,1,ibranched,1369,
3.72007,,Spot,Selected Surfaces - W2,1,ibranched,1373,
0.92826,,Spot,Selected Surfaces - W2,1,ibranched,1379,
1.67361,,Spot,Selected Surfaces - W2,1,ibranched,1381,
2.06869,,Spot,Selected Surfaces - W2,1,ibranched,1382,
1.04113,,Spot,Selected Surfaces - W2,1,ibranched,1384,
2.03959,,Spot,Selected Surfaces - W2,1,ibranched,1392,
2.10874,,Spot,Selected Surfaces - W2,1,ibranched,1395,
1.59483,,Spot,Selected Surfaces - W2,1,ibranched,1398,
2.62555,,Spot,Selected Surfaces - W2,1,ibranched,1399,
4.20911,,Spot,Selected Surfaces - W2,1,ibranched,1404,
1.62759,,Spot,Selected Surfaces - W2,1,ibranched,1407,
4.5123,,Spot,Selected Surfaces - W2,1,ibranched,1412,
1.23381,,Spot,Selected Surfaces - W2,1,ibranched,1414,
4.1063,,Spot,Selected Surfaces - W2,1,ibranched,1417,
1.14346,,Spot,Selected Surfaces - W2,1,ibranched,1430,
2.51944,,Spot,Selected Surfaces - W2,1,ibranched,1431,
2.99355,,Spot,Selected Surfaces - W2,1,ibranched,1432,
0.966966,,Spot,Selected Surfaces - W2,1,ibranched,1435,
0.830261,,Spot,Selected Surfaces - W2,1,ibranched,1437,
2.49168,,Spot,Selected Surfaces - W2,1,ibranched,1438,
5.03916,,Spot,Selected Surfaces - W2,1,ibranched,1443,
0.863397,,Spot,Selected Surfaces - W2,1,ibranched,1448,
1.77282,,Spot,Selected Surfaces - W2,1,ibranched,1455,
2.91218,,Spot,Selected Surfaces - W2,1,ibranched,1458,
1.50285,,Spot,Selected Surfaces - W2,1,ibranched,1460,
2.99961,,Spot,Selected Surfaces - W2,1,ibranched,1463,
3.36388,,Spot,Selected Surfaces - W2,1,ibranched,1465,
2.02534,,Spot,Selected Surfaces - W2,1,ibranched,1467,
1.83606,,Spot,Selected Surfaces - W2,1,ibranched,1476,
0.222783,,Spot,Selected Surfaces - W2,1,ibranched,1483,
2.01343,,Spot,Selected Surfaces - W2,1,ibranched,1492,
0.64317,,Spot,Selected Surfaces - W2,1,ibranched,1493,
