
Selection
 ==================== 
Shortest Distance to Spots,Unit,Category,Spots,Time,Set 1,ID,
2.93561,,Spot,Selected Surfaces - W2,1,ibranched,0,
3.67161,,Spot,Selected Surfaces - W2,1,ibranched,1,
1.36443,,Spot,Selected Surfaces - W2,1,ibranched,4,
2.71596,,Spot,Selected Surfaces - W2,1,ibranched,5,
2.72648,,Spot,Selected Surfaces - W2,1,ibranched,6,
1.01965,,Spot,Selected Surfaces - W2,1,ibranched,7,
4.16907,,Spot,Selected Surfaces - W2,1,ibranched,9,
3.71305,,Spot,Selected Surfaces - W2,1,ibranched,10,
3.20855,,Spot,Selected Surfaces - W2,1,ibranched,11,
5.86797,,Spot,Selected Surfaces - W2,1,ibranched,14,
4.6309,,Spot,Selected Surfaces - W2,1,ibranched,16,
4.38824,,Spot,Selected Surfaces - W2,1,ibranched,17,
1.3322,,Spot,Selected Surfaces - W2,1,ibranched,18,
1.93988,,Spot,Selected Surfaces - W2,1,ibranched,19,
2.10873,,Spot,Selected Surfaces - W2,1,ibranched,20,
2.4,,Spot,Selected Surfaces - W2,1,ibranched,21,
3.18067,,Spot,Selected Surfaces - W2,1,ibranched,22,
4.52181,,Spot,Selected Surfaces - W2,1,ibranched,23,
4.36283,,Spot,Selected Surfaces - W2,1,ibranched,24,
1.5972,,Spot,Selected Surfaces - W2,1,ibranched,25,
3.48455,,Spot,Selected Surfaces - W2,1,ibranched,26,
1.39189,,Spot,Selected Surfaces - W2,1,ibranched,27,
3.89894,,Spot,Selected Surfaces - W2,1,ibranched,28,
1.31277,,Spot,Selected Surfaces - W2,1,ibranched,29,
4.28761,,Spot,Selected Surfaces - W2,1,ibranched,31,
4.64649,,Spot,Selected Surfaces - W2,1,ibranched,32,
1.54229,,Spot,Selected Surfaces - W2,1,ibranched,33,
1.56813,,Spot,Selected Surfaces - W2,1,ibranched,34,
3.73619,,Spot,Selected Surfaces - W2,1,ibranched,35,
1.65026,,Spot,Selected Surfaces - W2,1,ibranched,36,
2.38357,,Spot,Selected Surfaces - W2,1,ibranched,37,
4.23582,,Spot,Selected Surfaces - W2,1,ibranched,39,
2.66586,,Spot,Selected Surfaces - W2,1,ibranched,41,
4.66823,,Spot,Selected Surfaces - W2,1,ibranched,42,
3.1796,,Spot,Selected Surfaces - W2,1,ibranched,43,
3.10888,,Spot,Selected Surfaces - W2,1,ibranched,44,
1.36342,,Spot,Selected Surfaces - W2,1,ibranched,45,
2.50834,,Spot,Selected Surfaces - W2,1,ibranched,46,
3.10926,,Spot,Selected Surfaces - W2,1,ibranched,47,
3.6002,,Spot,Selected Surfaces - W2,1,ibranched,48,
2.44903,,Spot,Selected Surfaces - W2,1,ibranched,49,
0.99273,,Spot,Selected Surfaces - W2,1,ibranched,50,
4.35133,,Spot,Selected Surfaces - W2,1,ibranched,51,
1.67119,,Spot,Selected Surfaces - W2,1,ibranched,52,
2.44903,,Spot,Selected Surfaces - W2,1,ibranched,54,
2.04613,,Spot,Selected Surfaces - W2,1,ibranched,56,
4.06326,,Spot,Selected Surfaces - W2,1,ibranched,57,
1.95514,,Spot,Selected Surfaces - W2,1,ibranched,58,
