
Detailed
 ==================== 
Shortest Distance to Spots,Unit,Category,Spots,Time,ID,
0.713474,,Spot,Selected Surfaces - W2,1,0,
2.304,,Spot,Selected Surfaces - W2,1,1,
3.83722,,Spot,Selected Surfaces - W2,1,2,
2.62555,,Spot,Selected Surfaces - W2,1,3,
2.0826,,Spot,Selected Surfaces - W2,1,4,
2.07568,,Spot,Selected Surfaces - W2,1,5,
1.40724,,Spot,Selected Surfaces - W2,1,6,
2.04263,,Spot,Selected Surfaces - W2,1,7,
2.28303,,Spot,Selected Surfaces - W2,1,8,
1.93838,,Spot,Selected Surfaces - W2,1,9,
2.98428,,Spot,Selected Surfaces - W2,1,10,
4.39001,,Spot,Selected Surfaces - W2,1,11,
2.30398,,Spot,Selected Surfaces - W2,1,12,
6.9597,,Spot,Selected Surfaces - W2,1,13,
1.36445,,Spot,Selected Surfaces - W2,1,14,
2.93542,,Spot,Selected Surfaces - W2,1,15,
2.26002,,Spot,Selected Surfaces - W2,1,16,
3.0857,,Spot,Selected Surfaces - W2,1,17,
2.49943,,Spot,Selected Surfaces - W2,1,18,
2.00558,,Spot,Selected Surfaces - W2,1,19,
1.68385,,Spot,Selected Surfaces - W2,1,20,
1.77346,,Spot,Selected Surfaces - W2,1,21,
2.44904,,Spot,Selected Surfaces - W2,1,22,
1.70078,,Spot,Selected Surfaces - W2,1,23,
2.2749,,Spot,Selected Surfaces - W2,1,24,
1.09922,,Spot,Selected Surfaces - W2,1,25,
2.44901,,Spot,Selected Surfaces - W2,1,26,
0.182232,,Spot,Selected Surfaces - W2,1,27,
3.95581,,Spot,Selected Surfaces - W2,1,28,
2.93545,,Spot,Selected Surfaces - W2,1,29,
1.32908,,Spot,Selected Surfaces - W2,1,30,
2.1354,,Spot,Selected Surfaces - W2,1,31,
5.16509,,Spot,Selected Surfaces - W2,1,32,
1.71163,,Spot,Selected Surfaces - W2,1,33,
1.98234,,Spot,Selected Surfaces - W2,1,34,
0.823872,,Spot,Selected Surfaces - W2,1,35,
0.587083,,Spot,Selected Surfaces - W2,1,36,
2.71594,,Spot,Selected Surfaces - W2,1,37,
1.71427,,Spot,Selected Surfaces - W2,1,38,
2.00096,,Spot,Selected Surfaces - W2,1,39,
1.26647,,Spot,Selected Surfaces - W2,1,40,
2.304,,Spot,Selected Surfaces - W2,1,41,
4.42108,,Spot,Selected Surfaces - W2,1,42,
1.65026,,Spot,Selected Surfaces - W2,1,43,
2.34108,,Spot,Selected Surfaces - W2,1,44,
1.1596,,Spot,Selected Surfaces - W2,1,45,
1.17417,,Spot,Selected Surfaces - W2,1,46,
2.65814,,Spot,Selected Surfaces - W2,1,47,
1.71163,,Spot,Selected Surfaces - W2,1,48,
3.67267,,Spot,Selected Surfaces - W2,1,49,
1.42299,,Spot,Selected Surfaces - W2,1,50,
1.85653,,Spot,Selected Surfaces - W2,1,51,
3.54691,,Spot,Selected Surfaces - W2,1,52,
4.4059,,Spot,Selected Surfaces - W2,1,53,
2.23556,,Spot,Selected Surfaces - W2,1,54,
2.5995,,Spot,Selected Surfaces - W2,1,55,
0.779816,,Spot,Selected Surfaces - W2,1,56,
2.52518,,Spot,Selected Surfaces - W2,1,57,
3.52768,,Spot,Selected Surfaces - W2,1,58,
2.59949,,Spot,Selected Surfaces - W2,1,59,
1.71164,,Spot,Selected Surfaces - W2,1,60,
1.177,,Spot,Selected Surfaces - W2,1,61,
3.44958,,Spot,Selected Surfaces - W2,1,62,
1.36443,,Spot,Selected Surfaces - W2,1,63,
1.54231,,Spot,Selected Surfaces - W2,1,64,
3.02859,,Spot,Selected Surfaces - W2,1,65,
4.02148,,Spot,Selected Surfaces - W2,1,66,
5.07114,,Spot,Selected Surfaces - W2,1,67,
1,,Spot,Selected Surfaces - W2,1,68,
0.587083,,Spot,Selected Surfaces - W2,1,69,
1.93238,,Spot,Selected Surfaces - W2,1,70,
2.07626,,Spot,Selected Surfaces - W2,1,71,
2.39235,,Spot,Selected Surfaces - W2,1,72,
2.93543,,Spot,Selected Surfaces - W2,1,73,
0.92826,,Spot,Selected Surfaces - W2,1,74,
2.30677,,Spot,Selected Surfaces - W2,1,75,
1.29974,,Spot,Selected Surfaces - W2,1,76,
0.92826,,Spot,Selected Surfaces - W2,1,77,
1.74034,,Spot,Selected Surfaces - W2,1,78,
1.85652,,Spot,Selected Surfaces - W2,1,79,
8.89629,,Spot,Selected Surfaces - W2,1,80,
2.04262,,Spot,Selected Surfaces - W2,1,81,
1.36444,,Spot,Selected Surfaces - W2,1,82,
1.08276,,Spot,Selected Surfaces - W2,1,83,
6.86194,,Spot,Selected Surfaces - W2,1,84,
1.24542,,Spot,Selected Surfaces - W2,1,85,
0.92826,,Spot,Selected Surfaces - W2,1,86,
2.65816,,Spot,Selected Surfaces - W2,1,87,
6.1706,,Spot,Selected Surfaces - W2,1,88,
7.91007,,Spot,Selected Surfaces - W2,1,89,
2.88242,,Spot,Selected Surfaces - W2,1,90,
1.36116,,Spot,Selected Surfaces - W2,1,91,
9.32178,,Spot,Selected Surfaces - W2,1,92,
2.23555,,Spot,Selected Surfaces - W2,1,93,
1.52143,,Spot,Selected Surfaces - W2,1,94,
9.72595,,Spot,Selected Surfaces - W2,1,95,
7.1422,,Spot,Selected Surfaces - W2,1,96,
2.3192,,Spot,Selected Surfaces - W2,1,97,
6.45796,,Spot,Selected Surfaces - W2,1,98,
0.587083,,Spot,Selected Surfaces - W2,1,99,
5.9843,,Spot,Selected Surfaces - W2,1,100,
2.10871,,Spot,Selected Surfaces - W2,1,101,
2.92941,,Spot,Selected Surfaces - W2,1,102,
0.997968,,Spot,Selected Surfaces - W2,1,103,
1.08276,,Spot,Selected Surfaces - W2,1,104,
1.87909,,Spot,Selected Surfaces - W2,1,105,
1.08276,,Spot,Selected Surfaces - W2,1,106,
3.47252,,Spot,Selected Surfaces - W2,1,107,
1.08274,,Spot,Selected Surfaces - W2,1,108,
5.87087,,Spot,Selected Surfaces - W2,1,109,
0.830261,,Spot,Selected Surfaces - W2,1,110,
0.861979,,Spot,Selected Surfaces - W2,1,111,
2.36472,,Spot,Selected Surfaces - W2,1,112,
7.23295,,Spot,Selected Surfaces - W2,1,113,
4.86296,,Spot,Selected Surfaces - W2,1,114,
4.97513,,Spot,Selected Surfaces - W2,1,115,
9.44251,,Spot,Selected Surfaces - W2,1,116,
0.647029,,Spot,Selected Surfaces - W2,1,117,
2.00543,,Spot,Selected Surfaces - W2,1,118,
1.24539,,Spot,Selected Surfaces - W2,1,119,
1.08274,,Spot,Selected Surfaces - W2,1,120,
2.58134,,Spot,Selected Surfaces - W2,1,121,
2.84003,,Spot,Selected Surfaces - W2,1,122,
1.05427,,Spot,Selected Surfaces - W2,1,123,
1.41306,,Spot,Selected Surfaces - W2,1,124,
6.25552,,Spot,Selected Surfaces - W2,1,125,
2.10871,,Spot,Selected Surfaces - W2,1,126,
1.65025,,Spot,Selected Surfaces - W2,1,127,
1.70446,,Spot,Selected Surfaces - W2,1,128,
8.40379,,Spot,Selected Surfaces - W2,1,129,
0.830261,,Spot,Selected Surfaces - W2,1,130,
2.48927,,Spot,Selected Surfaces - W2,1,131,
5.21778,,Spot,Selected Surfaces - W2,1,132,
3.98665,,Spot,Selected Surfaces - W2,1,133,
2.09349,,Spot,Selected Surfaces - W2,1,134,
3.10108,,Spot,Selected Surfaces - W2,1,135,
1.60567,,Spot,Selected Surfaces - W2,1,136,
1.29974,,Spot,Selected Surfaces - W2,1,137,
1.66054,,Spot,Selected Surfaces - W2,1,138,
4.81744,,Spot,Selected Surfaces - W2,1,139,
1.15961,,Spot,Selected Surfaces - W2,1,140,
5.14902,,Spot,Selected Surfaces - W2,1,141,
2.62553,,Spot,Selected Surfaces - W2,1,142,
1.85913,,Spot,Selected Surfaces - W2,1,143,
0.928274,,Spot,Selected Surfaces - W2,1,144,
2.44901,,Spot,Selected Surfaces - W2,1,145,
3.16593,,Spot,Selected Surfaces - W2,1,146,
5.42961,,Spot,Selected Surfaces - W2,1,147,
2.93542,,Spot,Selected Surfaces - W2,1,148,
2.34111,,Spot,Selected Surfaces - W2,1,149,
4.08859,,Spot,Selected Surfaces - W2,1,150,
1.99213,,Spot,Selected Surfaces - W2,1,151,
2.0873,,Spot,Selected Surfaces - W2,1,152,
1.17398,,Spot,Selected Surfaces - W2,1,153,
1.55481,,Spot,Selected Surfaces - W2,1,154,
1.0027,,Spot,Selected Surfaces - W2,1,155,
1.9915,,Spot,Selected Surfaces - W2,1,156,
2.54677,,Spot,Selected Surfaces - W2,1,157,
2.49807,,Spot,Selected Surfaces - W2,1,158,
0.829589,,Spot,Selected Surfaces - W2,1,159,
2.82632,,Spot,Selected Surfaces - W2,1,160,
1.8001,,Spot,Selected Surfaces - W2,1,161,
2.30401,,Spot,Selected Surfaces - W2,1,162,
2.34108,,Spot,Selected Surfaces - W2,1,163,
2.22987,,Spot,Selected Surfaces - W2,1,164,
0.534619,,Spot,Selected Surfaces - W2,1,165,
3.22159,,Spot,Selected Surfaces - W2,1,166,
4.41857,,Spot,Selected Surfaces - W2,1,167,
0.830261,,Spot,Selected Surfaces - W2,1,168,
1.38416,,Spot,Selected Surfaces - W2,1,169,
0.587083,,Spot,Selected Surfaces - W2,1,170,
3.146,,Spot,Selected Surfaces - W2,1,171,
1.71163,,Spot,Selected Surfaces - W2,1,172,
3.71207,,Spot,Selected Surfaces - W2,1,173,
0.769103,,Spot,Selected Surfaces - W2,1,174,
1.51746,,Spot,Selected Surfaces - W2,1,175,
0.415161,,Spot,Selected Surfaces - W2,1,176,
1.71163,,Spot,Selected Surfaces - W2,1,177,
2.91218,,Spot,Selected Surfaces - W2,1,178,
2.40807,,Spot,Selected Surfaces - W2,1,179,
1.29976,,Spot,Selected Surfaces - W2,1,180,
6.40294,,Spot,Selected Surfaces - W2,1,181,
0.950088,,Spot,Selected Surfaces - W2,1,182,
1.57799,,Spot,Selected Surfaces - W2,1,183,
2.80951,,Spot,Selected Surfaces - W2,1,184,
2.68403,,Spot,Selected Surfaces - W2,1,185,
0.978432,,Spot,Selected Surfaces - W2,1,186,
1.49679,,Spot,Selected Surfaces - W2,1,187,
1.23737,,Spot,Selected Surfaces - W2,1,188,
8.25131,,Spot,Selected Surfaces - W2,1,189,
10.0124,,Spot,Selected Surfaces - W2,1,190,
2.30398,,Spot,Selected Surfaces - W2,1,191,
1.7641,,Spot,Selected Surfaces - W2,1,192,
7.61019,,Spot,Selected Surfaces - W2,1,193,
1.41604,,Spot,Selected Surfaces - W2,1,194,
1.49307,,Spot,Selected Surfaces - W2,1,195,
3.39302,,Spot,Selected Surfaces - W2,1,196,
1.58012,,Spot,Selected Surfaces - W2,1,197,
2.59681,,Spot,Selected Surfaces - W2,1,198,
1.46258,,Spot,Selected Surfaces - W2,1,199,
7.70207,,Spot,Selected Surfaces - W2,1,200,
0.92826,,Spot,Selected Surfaces - W2,1,201,
1.98236,,Spot,Selected Surfaces - W2,1,202,
1.71163,,Spot,Selected Surfaces - W2,1,203,
1.1596,,Spot,Selected Surfaces - W2,1,204,
1.89057,,Spot,Selected Surfaces - W2,1,205,
1.5129,,Spot,Selected Surfaces - W2,1,206,
2.09296,,Spot,Selected Surfaces - W2,1,207,
1.31279,,Spot,Selected Surfaces - W2,1,208,
2.08439,,Spot,Selected Surfaces - W2,1,209,
1.43186,,Spot,Selected Surfaces - W2,1,210,
2.04264,,Spot,Selected Surfaces - W2,1,211,
3.42856,,Spot,Selected Surfaces - W2,1,212,
1.36443,,Spot,Selected Surfaces - W2,1,213,
0.741597,,Spot,Selected Surfaces - W2,1,214,
2.63244,,Spot,Selected Surfaces - W2,1,215,
2.10871,,Spot,Selected Surfaces - W2,1,216,
0,,Spot,Selected Surfaces - W2,1,217,
3.07998,,Spot,Selected Surfaces - W2,1,218,
9.1036,,Spot,Selected Surfaces - W2,1,219,
2.66496,,Spot,Selected Surfaces - W2,1,220,
3.10108,,Spot,Selected Surfaces - W2,1,221,
7.71327,,Spot,Selected Surfaces - W2,1,222,
11.4686,,Spot,Selected Surfaces - W2,1,223,
3.73051,,Spot,Selected Surfaces - W2,1,224,
9.37805,,Spot,Selected Surfaces - W2,1,225,
2.3192,,Spot,Selected Surfaces - W2,1,226,
2.72886,,Spot,Selected Surfaces - W2,1,227,
1.59385,,Spot,Selected Surfaces - W2,1,228,
2.62553,,Spot,Selected Surfaces - W2,1,229,
3.02859,,Spot,Selected Surfaces - W2,1,230,
4.63841,,Spot,Selected Surfaces - W2,1,231,
2.23298,,Spot,Selected Surfaces - W2,1,232,
1.24539,,Spot,Selected Surfaces - W2,1,233,
1.54229,,Spot,Selected Surfaces - W2,1,234,
1.57047,,Spot,Selected Surfaces - W2,1,235,
0,,Spot,Selected Surfaces - W2,1,236,
3.22161,,Spot,Selected Surfaces - W2,1,237,
1.29974,,Spot,Selected Surfaces - W2,1,238,
1.31279,,Spot,Selected Surfaces - W2,1,239,
0,,Spot,Selected Surfaces - W2,1,240,
2.56141,,Spot,Selected Surfaces - W2,1,241,
1.17418,,Spot,Selected Surfaces - W2,1,242,
