
Detailed
 ==================== 
Shortest Distance to Spots,Unit,Category,Spots,Time,ID,
2.96581,,Spot,Selected Surfaces - W0,1,0,
2.30493,,Spot,Selected Surfaces - W0,1,1,
1.36442,,Spot,Selected Surfaces - W0,1,2,
2.39236,,Spot,Selected Surfaces - W0,1,3,
2.23559,,Spot,Selected Surfaces - W0,1,4,
5.08095,,Spot,Selected Surfaces - W0,1,5,
0.674295,,Spot,Selected Surfaces - W0,1,6,
4.20992,,Spot,Selected Surfaces - W0,1,7,
8.30966,,Spot,Selected Surfaces - W0,1,8,
0.827268,,Spot,Selected Surfaces - W0,1,9,
1.29974,,Spot,Selected Surfaces - W0,1,10,
1.36445,,Spot,Selected Surfaces - W0,1,11,
1.7395,,Spot,Selected Surfaces - W0,1,12,
2.31652,,Spot,Selected Surfaces - W0,1,13,
2.40531,,Spot,Selected Surfaces - W0,1,14,
3.5857,,Spot,Selected Surfaces - W0,1,15,
1.24542,,Spot,Selected Surfaces - W0,1,16,
1.1596,,Spot,Selected Surfaces - W0,1,17,
1.17625,,Spot,Selected Surfaces - W0,1,18,
1.57433,,Spot,Selected Surfaces - W0,1,19,
3.32052,,Spot,Selected Surfaces - W0,1,20,
1.65025,,Spot,Selected Surfaces - W0,1,21,
2.61906,,Spot,Selected Surfaces - W0,1,22,
0.92826,,Spot,Selected Surfaces - W0,1,23,
5.48049,,Spot,Selected Surfaces - W0,1,24,
1.08274,,Spot,Selected Surfaces - W0,1,25,
2.99963,,Spot,Selected Surfaces - W0,1,26,
2.20492,,Spot,Selected Surfaces - W0,1,27,
7.04758,,Spot,Selected Surfaces - W0,1,28,
0.4151,,Spot,Selected Surfaces - W0,1,29,
0.92826,,Spot,Selected Surfaces - W0,1,30,
2.04263,,Spot,Selected Surfaces - W0,1,31,
4.70705,,Spot,Selected Surfaces - W0,1,32,
3.70848,,Spot,Selected Surfaces - W0,1,33,
0.92826,,Spot,Selected Surfaces - W0,1,34,
2.16549,,Spot,Selected Surfaces - W0,1,35,
6.29672,,Spot,Selected Surfaces - W0,1,36,
10.3285,,Spot,Selected Surfaces - W0,1,37,
1,,Spot,Selected Surfaces - W0,1,38,
3.16157,,Spot,Selected Surfaces - W0,1,39,
1.62011,,Spot,Selected Surfaces - W0,1,40,
1.80009,,Spot,Selected Surfaces - W0,1,41,
3.96468,,Spot,Selected Surfaces - W0,1,42,
2.304,,Spot,Selected Surfaces - W0,1,43,
3.33558,,Spot,Selected Surfaces - W0,1,44,
4.50851,,Spot,Selected Surfaces - W0,1,45,
3.68515,,Spot,Selected Surfaces - W0,1,46,
8.47937,,Spot,Selected Surfaces - W0,1,47,
1.49679,,Spot,Selected Surfaces - W0,1,48,
1.42144,,Spot,Selected Surfaces - W0,1,49,
2.56945,,Spot,Selected Surfaces - W0,1,50,
2.07565,,Spot,Selected Surfaces - W0,1,51,
2.20089,,Spot,Selected Surfaces - W0,1,52,
0.830261,,Spot,Selected Surfaces - W0,1,53,
5.67247,,Spot,Selected Surfaces - W0,1,54,
0.711446,,Spot,Selected Surfaces - W0,1,55,
8.92626,,Spot,Selected Surfaces - W0,1,56,
10.7711,,Spot,Selected Surfaces - W0,1,57,
1.59719,,Spot,Selected Surfaces - W0,1,58,
1.18124,,Spot,Selected Surfaces - W0,1,59,
1.08274,,Spot,Selected Surfaces - W0,1,60,
0.587083,,Spot,Selected Surfaces - W0,1,61,
2.1491,,Spot,Selected Surfaces - W0,1,62,
1.31279,,Spot,Selected Surfaces - W0,1,63,
0.996632,,Spot,Selected Surfaces - W0,1,64,
1.80011,,Spot,Selected Surfaces - W0,1,65,
1.1596,,Spot,Selected Surfaces - W0,1,66,
2.02534,,Spot,Selected Surfaces - W0,1,67,
3.5363,,Spot,Selected Surfaces - W0,1,68,
7.53359,,Spot,Selected Surfaces - W0,1,69,
1.14859,,Spot,Selected Surfaces - W0,1,70,
13.3827,,Spot,Selected Surfaces - W0,1,71,
1.69629,,Spot,Selected Surfaces - W0,1,72,
0.877756,,Spot,Selected Surfaces - W0,1,73,
1.68818,,Spot,Selected Surfaces - W0,1,74,
10.6709,,Spot,Selected Surfaces - W0,1,75,
10.4865,,Spot,Selected Surfaces - W0,1,76,
10.4616,,Spot,Selected Surfaces - W0,1,77,
3.14033,,Spot,Selected Surfaces - W0,1,78,
1.85652,,Spot,Selected Surfaces - W0,1,79,
12.5416,,Spot,Selected Surfaces - W0,1,80,
1.92427,,Spot,Selected Surfaces - W0,1,81,
13.1591,,Spot,Selected Surfaces - W0,1,82,
12.7794,,Spot,Selected Surfaces - W0,1,83,
1.92628,,Spot,Selected Surfaces - W0,1,84,
1.80403,,Spot,Selected Surfaces - W0,1,85,
1.94495,,Spot,Selected Surfaces - W0,1,86,
1.49682,,Spot,Selected Surfaces - W0,1,87,
11.1837,,Spot,Selected Surfaces - W0,1,88,
1.66938,,Spot,Selected Surfaces - W0,1,89,
2.39522,,Spot,Selected Surfaces - W0,1,90,
4.5816,,Spot,Selected Surfaces - W0,1,91,
1.56043,,Spot,Selected Surfaces - W0,1,92,
1.38345,,Spot,Selected Surfaces - W0,1,93,
1.65698,,Spot,Selected Surfaces - W0,1,94,
1.4968,,Spot,Selected Surfaces - W0,1,95,
2.31994,,Spot,Selected Surfaces - W0,1,96,
9.5841,,Spot,Selected Surfaces - W0,1,97,
11.674,,Spot,Selected Surfaces - W0,1,98,
1.67474,,Spot,Selected Surfaces - W0,1,99,
3.35418,,Spot,Selected Surfaces - W0,1,100,
7.21818,,Spot,Selected Surfaces - W0,1,101,
1.53022,,Spot,Selected Surfaces - W0,1,102,
2.89415,,Spot,Selected Surfaces - W0,1,103,
1.47771,,Spot,Selected Surfaces - W0,1,104,
2.18383,,Spot,Selected Surfaces - W0,1,105,
10.3853,,Spot,Selected Surfaces - W0,1,106,
2.30398,,Spot,Selected Surfaces - W0,1,107,
1.08274,,Spot,Selected Surfaces - W0,1,108,
1.54229,,Spot,Selected Surfaces - W0,1,109,
1.0944,,Spot,Selected Surfaces - W0,1,110,
1.98234,,Spot,Selected Surfaces - W0,1,111,
1.8376,,Spot,Selected Surfaces - W0,1,112,
0.949435,,Spot,Selected Surfaces - W0,1,113,
2.55177,,Spot,Selected Surfaces - W0,1,114,
1.96751,,Spot,Selected Surfaces - W0,1,115,
1.9644,,Spot,Selected Surfaces - W0,1,116,
1.36443,,Spot,Selected Surfaces - W0,1,117,
3.08312,,Spot,Selected Surfaces - W0,1,118,
5.71984,,Spot,Selected Surfaces - W0,1,119,
0.92826,,Spot,Selected Surfaces - W0,1,120,
1.42514,,Spot,Selected Surfaces - W0,1,121,
2.3714,,Spot,Selected Surfaces - W0,1,122,
3.65396,,Spot,Selected Surfaces - W0,1,123,
1.36365,,Spot,Selected Surfaces - W0,1,124,
2.30397,,Spot,Selected Surfaces - W0,1,125,
1.96532,,Spot,Selected Surfaces - W0,1,126,
1.31275,,Spot,Selected Surfaces - W0,1,127,
2.50871,,Spot,Selected Surfaces - W0,1,128,
4.1063,,Spot,Selected Surfaces - W0,1,129,
1.31273,,Spot,Selected Surfaces - W0,1,130,
1.65024,,Spot,Selected Surfaces - W0,1,131,
1.49675,,Spot,Selected Surfaces - W0,1,132,
2.39234,,Spot,Selected Surfaces - W0,1,133,
2.73834,,Spot,Selected Surfaces - W0,1,134,
11.596,,Spot,Selected Surfaces - W0,1,135,
2.71597,,Spot,Selected Surfaces - W0,1,136,
1.93838,,Spot,Selected Surfaces - W0,1,137,
12.2465,,Spot,Selected Surfaces - W0,1,138,
3.8768,,Spot,Selected Surfaces - W0,1,139,
13.7448,,Spot,Selected Surfaces - W0,1,140,
1.36443,,Spot,Selected Surfaces - W0,1,141,
0.97818,,Spot,Selected Surfaces - W0,1,142,
2.90483,,Spot,Selected Surfaces - W0,1,143,
4.20911,,Spot,Selected Surfaces - W0,1,144,
7.96537,,Spot,Selected Surfaces - W0,1,145,
3.49376,,Spot,Selected Surfaces - W0,1,146,
11.6331,,Spot,Selected Surfaces - W0,1,147,
1.80009,,Spot,Selected Surfaces - W0,1,148,
2.87887,,Spot,Selected Surfaces - W0,1,149,
1.46645,,Spot,Selected Surfaces - W0,1,150,
3.42712,,Spot,Selected Surfaces - W0,1,151,
1.71163,,Spot,Selected Surfaces - W0,1,152,
1.7434,,Spot,Selected Surfaces - W0,1,153,
2.33036,,Spot,Selected Surfaces - W0,1,154,
1.32688,,Spot,Selected Surfaces - W0,1,155,
2.86191,,Spot,Selected Surfaces - W0,1,156,
10.4594,,Spot,Selected Surfaces - W0,1,157,
1.48028,,Spot,Selected Surfaces - W0,1,158,
15.4133,,Spot,Selected Surfaces - W0,1,159,
12.367,,Spot,Selected Surfaces - W0,1,160,
2.48834,,Spot,Selected Surfaces - W0,1,161,
2.22068,,Spot,Selected Surfaces - W0,1,162,
2.02534,,Spot,Selected Surfaces - W0,1,163,
7.20281,,Spot,Selected Surfaces - W0,1,164,
0.947188,,Spot,Selected Surfaces - W0,1,165,
14.3168,,Spot,Selected Surfaces - W0,1,166,
4.27087,,Spot,Selected Surfaces - W0,1,167,
3.34689,,Spot,Selected Surfaces - W0,1,168,
1.80011,,Spot,Selected Surfaces - W0,1,169,
2.55368,,Spot,Selected Surfaces - W0,1,170,
2.66496,,Spot,Selected Surfaces - W0,1,171,
2.29314,,Spot,Selected Surfaces - W0,1,172,
1.65025,,Spot,Selected Surfaces - W0,1,173,
1.34596,,Spot,Selected Surfaces - W0,1,174,
6.12714,,Spot,Selected Surfaces - W0,1,175,
0.551938,,Spot,Selected Surfaces - W0,1,176,
0.587083,,Spot,Selected Surfaces - W0,1,177,
1.07763,,Spot,Selected Surfaces - W0,1,178,
1.06838,,Spot,Selected Surfaces - W0,1,179,
2.39235,,Spot,Selected Surfaces - W0,1,180,
1.58886,,Spot,Selected Surfaces - W0,1,181,
0.751554,,Spot,Selected Surfaces - W0,1,182,
3.12619,,Spot,Selected Surfaces - W0,1,183,
15.3681,,Spot,Selected Surfaces - W0,1,184,
1.71165,,Spot,Selected Surfaces - W0,1,185,
2.55239,,Spot,Selected Surfaces - W0,1,186,
5.94702,,Spot,Selected Surfaces - W0,1,187,
1.17775,,Spot,Selected Surfaces - W0,1,188,
2.14283,,Spot,Selected Surfaces - W0,1,189,
1.93548,,Spot,Selected Surfaces - W0,1,190,
2.409,,Spot,Selected Surfaces - W0,1,191,
1.4968,,Spot,Selected Surfaces - W0,1,192,
0.989669,,Spot,Selected Surfaces - W0,1,193,
0.293008,,Spot,Selected Surfaces - W0,1,194,
2.30398,,Spot,Selected Surfaces - W0,1,195,
5.55104,,Spot,Selected Surfaces - W0,1,196,
1.93838,,Spot,Selected Surfaces - W0,1,197,
2.10874,,Spot,Selected Surfaces - W0,1,198,
2.30398,,Spot,Selected Surfaces - W0,1,199,
6.82002,,Spot,Selected Surfaces - W0,1,200,
2.70771,,Spot,Selected Surfaces - W0,1,201,
2.16549,,Spot,Selected Surfaces - W0,1,202,
6.78415,,Spot,Selected Surfaces - W0,1,203,
2.04263,,Spot,Selected Surfaces - W0,1,204,
2.34108,,Spot,Selected Surfaces - W0,1,205,
0.84035,,Spot,Selected Surfaces - W0,1,206,
1.98235,,Spot,Selected Surfaces - W0,1,207,
11.1546,,Spot,Selected Surfaces - W0,1,208,
2.30398,,Spot,Selected Surfaces - W0,1,209,
3.75751,,Spot,Selected Surfaces - W0,1,210,
2.20492,,Spot,Selected Surfaces - W0,1,211,
2.77756,,Spot,Selected Surfaces - W0,1,212,
3.27465,,Spot,Selected Surfaces - W0,1,213,
14.2275,,Spot,Selected Surfaces - W0,1,214,
1.15961,,Spot,Selected Surfaces - W0,1,215,
7.28155,,Spot,Selected Surfaces - W0,1,216,
2.06813,,Spot,Selected Surfaces - W0,1,217,
2.65178,,Spot,Selected Surfaces - W0,1,218,
2.04263,,Spot,Selected Surfaces - W0,1,219,
1.49253,,Spot,Selected Surfaces - W0,1,220,
3.0222,,Spot,Selected Surfaces - W0,1,221,
2.09862,,Spot,Selected Surfaces - W0,1,222,
4.0082,,Spot,Selected Surfaces - W0,1,223,
1.36443,,Spot,Selected Surfaces - W0,1,224,
2.84003,,Spot,Selected Surfaces - W0,1,225,
13.8049,,Spot,Selected Surfaces - W0,1,226,
1.77366,,Spot,Selected Surfaces - W0,1,227,
1.98234,,Spot,Selected Surfaces - W0,1,228,
7.40395,,Spot,Selected Surfaces - W0,1,229,
1.52452,,Spot,Selected Surfaces - W0,1,230,
3.15618,,Spot,Selected Surfaces - W0,1,231,
4.4143,,Spot,Selected Surfaces - W0,1,232,
5.71208,,Spot,Selected Surfaces - W0,1,233,
4.27889,,Spot,Selected Surfaces - W0,1,234,
4.34235,,Spot,Selected Surfaces - W0,1,235,
0.738374,,Spot,Selected Surfaces - W0,1,236,
1.80009,,Spot,Selected Surfaces - W0,1,237,
3.86957,,Spot,Selected Surfaces - W0,1,238,
2.63969,,Spot,Selected Surfaces - W0,1,239,
1.29974,,Spot,Selected Surfaces - W0,1,240,
3.80437,,Spot,Selected Surfaces - W0,1,241,
2.11856,,Spot,Selected Surfaces - W0,1,242,
3.5125,,Spot,Selected Surfaces - W0,1,243,
0.928247,,Spot,Selected Surfaces - W0,1,244,
1.94252,,Spot,Selected Surfaces - W0,1,245,
3.00832,,Spot,Selected Surfaces - W0,1,246,
6.7303,,Spot,Selected Surfaces - W0,1,247,
15.2125,,Spot,Selected Surfaces - W0,1,248,
7.13982,,Spot,Selected Surfaces - W0,1,249,
6.10436,,Spot,Selected Surfaces - W0,1,250,
5.31629,,Spot,Selected Surfaces - W0,1,251,
6.22992,,Spot,Selected Surfaces - W0,1,252,
2.1655,,Spot,Selected Surfaces - W0,1,253,
4.41294,,Spot,Selected Surfaces - W0,1,254,
3.10108,,Spot,Selected Surfaces - W0,1,255,
0.603057,,Spot,Selected Surfaces - W0,1,256,
10.5387,,Spot,Selected Surfaces - W0,1,257,
2.61903,,Spot,Selected Surfaces - W0,1,258,
14.4812,,Spot,Selected Surfaces - W0,1,259,
1.08274,,Spot,Selected Surfaces - W0,1,260,
1.62335,,Spot,Selected Surfaces - W0,1,261,
1.96905,,Spot,Selected Surfaces - W0,1,262,
4.79801,,Spot,Selected Surfaces - W0,1,263,
1.57394,,Spot,Selected Surfaces - W0,1,264,
3.73081,,Spot,Selected Surfaces - W0,1,265,
1.08276,,Spot,Selected Surfaces - W0,1,266,
0.904804,,Spot,Selected Surfaces - W0,1,267,
9.19092,,Spot,Selected Surfaces - W0,1,268,
2.72886,,Spot,Selected Surfaces - W0,1,269,
4.39746,,Spot,Selected Surfaces - W0,1,270,
2.15907,,Spot,Selected Surfaces - W0,1,271,
1.04509,,Spot,Selected Surfaces - W0,1,272,
8.47939,,Spot,Selected Surfaces - W0,1,273,
2.30398,,Spot,Selected Surfaces - W0,1,274,
3.40897,,Spot,Selected Surfaces - W0,1,275,
1.30392,,Spot,Selected Surfaces - W0,1,276,
0.983824,,Spot,Selected Surfaces - W0,1,277,
1.98234,,Spot,Selected Surfaces - W0,1,278,
1.2441,,Spot,Selected Surfaces - W0,1,279,
8.95387,,Spot,Selected Surfaces - W0,1,280,
7.13517,,Spot,Selected Surfaces - W0,1,281,
2.85879,,Spot,Selected Surfaces - W0,1,282,
2.81073,,Spot,Selected Surfaces - W0,1,283,
1.30004,,Spot,Selected Surfaces - W0,1,284,
2.08438,,Spot,Selected Surfaces - W0,1,285,
1.93841,,Spot,Selected Surfaces - W0,1,286,
2.68403,,Spot,Selected Surfaces - W0,1,287,
1.35649,,Spot,Selected Surfaces - W0,1,288,
2.40476,,Spot,Selected Surfaces - W0,1,289,
11.1408,,Spot,Selected Surfaces - W0,1,290,
1.24542,,Spot,Selected Surfaces - W0,1,291,
6.3751,,Spot,Selected Surfaces - W0,1,292,
1.71163,,Spot,Selected Surfaces - W0,1,293,
9.60926,,Spot,Selected Surfaces - W0,1,294,
0.830292,,Spot,Selected Surfaces - W0,1,295,
2.49078,,Spot,Selected Surfaces - W0,1,296,
3.07238,,Spot,Selected Surfaces - W0,1,297,
1.1596,,Spot,Selected Surfaces - W0,1,298,
1.54229,,Spot,Selected Surfaces - W0,1,299,
0.678142,,Spot,Selected Surfaces - W0,1,300,
2.71594,,Spot,Selected Surfaces - W0,1,301,
2.18304,,Spot,Selected Surfaces - W0,1,302,
1.98236,,Spot,Selected Surfaces - W0,1,303,
1.85653,,Spot,Selected Surfaces - W0,1,304,
2.18472,,Spot,Selected Surfaces - W0,1,305,
1.29974,,Spot,Selected Surfaces - W0,1,306,
0.830261,,Spot,Selected Surfaces - W0,1,307,
1.30954,,Spot,Selected Surfaces - W0,1,308,
2.62555,,Spot,Selected Surfaces - W0,1,309,
1.98236,,Spot,Selected Surfaces - W0,1,310,
1.83581,,Spot,Selected Surfaces - W0,1,311,
1.59721,,Spot,Selected Surfaces - W0,1,312,
2.83557,,Spot,Selected Surfaces - W0,1,313,
5.13842,,Spot,Selected Surfaces - W0,1,314,
12.4044,,Spot,Selected Surfaces - W0,1,315,
1.54229,,Spot,Selected Surfaces - W0,1,316,
3.19634,,Spot,Selected Surfaces - W0,1,317,
1.31276,,Spot,Selected Surfaces - W0,1,318,
2.44902,,Spot,Selected Surfaces - W0,1,319,
1.38182,,Spot,Selected Surfaces - W0,1,320,
4.17204,,Spot,Selected Surfaces - W0,1,321,
3.13997,,Spot,Selected Surfaces - W0,1,322,
0.415131,,Spot,Selected Surfaces - W0,1,323,
5.13494,,Spot,Selected Surfaces - W0,1,324,
4.58232,,Spot,Selected Surfaces - W0,1,325,
0.620446,,Spot,Selected Surfaces - W0,1,326,
0.265236,,Spot,Selected Surfaces - W0,1,327,
3.91846,,Spot,Selected Surfaces - W0,1,328,
0.876784,,Spot,Selected Surfaces - W0,1,329,
5.69542,,Spot,Selected Surfaces - W0,1,330,
3.9383,,Spot,Selected Surfaces - W0,1,331,
0.888752,,Spot,Selected Surfaces - W0,1,332,
3.14033,,Spot,Selected Surfaces - W0,1,333,
2.86687,,Spot,Selected Surfaces - W0,1,334,
5.68007,,Spot,Selected Surfaces - W0,1,335,
2.65813,,Spot,Selected Surfaces - W0,1,336,
4.40081,,Spot,Selected Surfaces - W0,1,337,
6.04445,,Spot,Selected Surfaces - W0,1,338,
2.21965,,Spot,Selected Surfaces - W0,1,339,
3.2437,,Spot,Selected Surfaces - W0,1,340,
4.1063,,Spot,Selected Surfaces - W0,1,341,
6.48735,,Spot,Selected Surfaces - W0,1,342,
1.1596,,Spot,Selected Surfaces - W0,1,343,
6.63187,,Spot,Selected Surfaces - W0,1,344,
9.21746,,Spot,Selected Surfaces - W0,1,345,
1.71166,,Spot,Selected Surfaces - W0,1,346,
1.08274,,Spot,Selected Surfaces - W0,1,347,
2.04262,,Spot,Selected Surfaces - W0,1,348,
8.41821,,Spot,Selected Surfaces - W0,1,349,
1.31279,,Spot,Selected Surfaces - W0,1,350,
5.13602,,Spot,Selected Surfaces - W0,1,351,
0.928247,,Spot,Selected Surfaces - W0,1,352,
4.60257,,Spot,Selected Surfaces - W0,1,353,
0,,Spot,Selected Surfaces - W0,1,354,
10.0989,,Spot,Selected Surfaces - W0,1,355,
5.36215,,Spot,Selected Surfaces - W0,1,356,
1.22513,,Spot,Selected Surfaces - W0,1,357,
2.99961,,Spot,Selected Surfaces - W0,1,358,
1,,Spot,Selected Surfaces - W0,1,359,
1.76293,,Spot,Selected Surfaces - W0,1,360,
1.15958,,Spot,Selected Surfaces - W0,1,361,
0.850253,,Spot,Selected Surfaces - W0,1,362,
2.2381,,Spot,Selected Surfaces - W0,1,363,
0.928247,,Spot,Selected Surfaces - W0,1,364,
1.31074,,Spot,Selected Surfaces - W0,1,365,
3.22123,,Spot,Selected Surfaces - W0,1,366,
7.78638,,Spot,Selected Surfaces - W0,1,367,
0.543559,,Spot,Selected Surfaces - W0,1,368,
1.9684,,Spot,Selected Surfaces - W0,1,369,
3.95584,,Spot,Selected Surfaces - W0,1,370,
1.54229,,Spot,Selected Surfaces - W0,1,371,
5.36217,,Spot,Selected Surfaces - W0,1,372,
4.41729,,Spot,Selected Surfaces - W0,1,373,
3.59193,,Spot,Selected Surfaces - W0,1,374,
2.8265,,Spot,Selected Surfaces - W0,1,375,
1.87036,,Spot,Selected Surfaces - W0,1,376,
1.23054,,Spot,Selected Surfaces - W0,1,377,
10.8968,,Spot,Selected Surfaces - W0,1,378,
10.4711,,Spot,Selected Surfaces - W0,1,379,
1.31276,,Spot,Selected Surfaces - W0,1,380,
1.08273,,Spot,Selected Surfaces - W0,1,381,
6.10453,,Spot,Selected Surfaces - W0,1,382,
4.2295,,Spot,Selected Surfaces - W0,1,383,
7.64221,,Spot,Selected Surfaces - W0,1,384,
2.39237,,Spot,Selected Surfaces - W0,1,385,
2.44901,,Spot,Selected Surfaces - W0,1,386,
1.36443,,Spot,Selected Surfaces - W0,1,387,
2.93542,,Spot,Selected Surfaces - W0,1,388,
0.415161,,Spot,Selected Surfaces - W0,1,389,
3.64516,,Spot,Selected Surfaces - W0,1,390,
2.08438,,Spot,Selected Surfaces - W0,1,391,
0.830261,,Spot,Selected Surfaces - W0,1,392,
8.93516,,Spot,Selected Surfaces - W0,1,393,
11.203,,Spot,Selected Surfaces - W0,1,394,
1.49061,,Spot,Selected Surfaces - W0,1,395,
7.72917,,Spot,Selected Surfaces - W0,1,396,
2.13684,,Spot,Selected Surfaces - W0,1,397,
1.17417,,Spot,Selected Surfaces - W0,1,398,
1,,Spot,Selected Surfaces - W0,1,399,
1.17417,,Spot,Selected Surfaces - W0,1,400,
1.93841,,Spot,Selected Surfaces - W0,1,401,
1.95411,,Spot,Selected Surfaces - W0,1,402,
2.04264,,Spot,Selected Surfaces - W0,1,403,
0.34096,,Spot,Selected Surfaces - W0,1,404,
2.18701,,Spot,Selected Surfaces - W0,1,405,
1.36094,,Spot,Selected Surfaces - W0,1,406,
1.23146,,Spot,Selected Surfaces - W0,1,407,
1.65025,,Spot,Selected Surfaces - W0,1,408,
5.13602,,Spot,Selected Surfaces - W0,1,409,
4.41704,,Spot,Selected Surfaces - W0,1,410,
1.83128,,Spot,Selected Surfaces - W0,1,411,
3.0569,,Spot,Selected Surfaces - W0,1,412,
3.35266,,Spot,Selected Surfaces - W0,1,413,
2.02538,,Spot,Selected Surfaces - W0,1,414,
